method,n,executable_rate,optimal_rate,objective_accuracy,structure_completeness,inventory_balance_accuracy,constraint_coverage,average_runtime_sec,average_repair_feedback_count,group,difficulty
Best-of-K,10,0.8,0.8,0.7,0.6416666666666666,0.0,0.9305555555555556,0.17427365129988176,0.5,easy,easy
Best-of-K,20,0.95,0.8,0.55,0.7503125,1.0,0.9476744186046512,0.09266655324754539,0.45,hard,hard
Best-of-K,20,1.0,1.0,0.75,0.8396031746031746,0.95,0.98125,0.09532439105241793,0.15,medium,medium
Consensus only,10,0.8,0.8,0.7,0.6416666666666666,0.0,0.9305555555555556,0.17427365129988176,0.5,easy,easy
Consensus only,20,0.95,0.8,0.55,0.7503125,1.0,0.9476744186046512,0.09266655324754539,0.45,hard,hard
Consensus only,20,1.0,1.0,0.8,0.8396031746031746,0.95,0.98125,0.09587700995180057,0.15,medium,medium
Direct,10,0.8,0.8,0.7,0.6416666666666666,0.0,0.9305555555555556,0.17427365129988176,0.5,easy,easy
Direct,20,0.95,0.8,0.55,0.7503125,1.0,0.9476744186046512,0.09266655324754539,0.45,hard,hard
Direct,20,1.0,1.0,0.75,0.8396031746031746,0.95,0.98125,0.09532439105241793,0.15,medium,medium
OR-R1-like Voting,10,0.8,0.8,0.7,0.6416666666666666,0.0,0.9305555555555556,0.17427365129988176,0.5,easy,easy
OR-R1-like Voting,20,0.95,0.8,0.55,0.7503125,1.0,0.9476744186046512,0.09266655324754539,0.45,hard,hard
OR-R1-like Voting,20,1.0,1.0,0.8,0.8396031746031746,0.95,0.98125,0.09587700995180057,0.15,medium,medium
OptArgus-like Audit,10,0.8,0.8,0.7,0.6416666666666666,0.0,0.9305555555555556,0.17427365129988176,0.5,easy,easy
OptArgus-like Audit,20,0.95,0.8,0.55,0.7503125,1.0,0.9476744186046512,0.09266655324754539,0.45,hard,hard
OptArgus-like Audit,20,1.0,1.0,0.75,0.8396031746031746,0.95,0.98125,0.09532439105241793,0.15,medium,medium
OptiRepair-like Repair-Prompt,10,0.8,0.8,0.7,0.6416666666666666,0.0,0.9305555555555556,0.17427365129988176,0.5,easy,easy
OptiRepair-like Repair-Prompt,20,0.95,0.8,0.55,0.7503125,1.0,0.9476744186046512,0.09266655324754539,0.45,hard,hard
OptiRepair-like Repair-Prompt,20,1.0,1.0,0.75,0.8396031746031746,0.95,0.98125,0.09532439105241793,0.15,medium,medium
ReplenishVerifier-Full,10,0.8,0.8,0.7,0.6416666666666666,0.0,0.9305555555555556,0.17427365129988176,0.5,easy,easy
ReplenishVerifier-Full,20,0.95,0.8,0.55,0.7518125,1.0,0.9476744186046512,0.0924350715984474,0.45,hard,hard
ReplenishVerifier-Full,20,1.0,1.0,0.75,0.8412698412698413,0.95,0.98125,0.09630884680373128,0.15,medium,medium
ReplenishVerifier-Repair,10,0.8,0.8,0.7,0.6416666666666666,0.0,0.9305555555555556,0.17427365129988176,0.5,easy,easy
ReplenishVerifier-Repair,20,0.95,0.8,0.55,0.7518125,1.0,0.9476744186046512,0.0924350715984474,0.45,hard,hard
ReplenishVerifier-Repair,20,1.0,1.0,0.75,0.8412698412698413,0.95,0.98125,0.09630884680373128,0.15,medium,medium
SIRL-like LP-Stats,10,0.8,0.8,0.6,0.6416666666666666,0.0,0.9305555555555556,0.1732089065015316,0.5,easy,easy
SIRL-like LP-Stats,20,0.95,0.8,0.55,0.7503125,1.0,0.9476744186046512,0.09266655324754539,0.45,hard,hard
