method,metric,reported,recomputed,delta,status
Best-of-K,executable_rate,0.94,0.94,0.0,OK
Best-of-K,optimal_rate,0.82,0.82,0.0,OK
Best-of-K,objective_accuracy,0.68,0.68,0.0,OK
Best-of-K,structure_completeness,0.7774,0.7773555555555557,-4.444444444429152e-05,OK
Best-of-K,inventory_balance_accuracy,1.0,1.0,0.0,OK
Best-of-K,constraint_coverage,0.9128,0.9127777777777777,-2.2222222222256782e-05,OK
Best-of-K,average_runtime_sec,0.0832,0.08323032680083997,3.0326800839974855e-05,OK
Best-of-K,average_repair_feedback_count,0.22,0.22,0.0,OK
Consensus only,executable_rate,0.94,0.94,0.0,OK
Consensus only,optimal_rate,0.82,0.82,0.0,OK
Consensus only,objective_accuracy,0.72,0.72,0.0,OK
Consensus only,structure_completeness,0.7747,0.7746555555555555,-4.4444444444513564e-05,OK
Consensus only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Consensus only,constraint_coverage,0.9128,0.9127777777777777,-2.2222222222256782e-05,OK
Consensus only,average_runtime_sec,0.0813,0.08127879890380427,-2.1201096195730407e-05,OK
Consensus only,average_repair_feedback_count,0.22,0.22,0.0,OK
Direct,executable_rate,0.9,0.9,0.0,OK
Direct,optimal_rate,0.8,0.8,0.0,OK
Direct,objective_accuracy,0.68,0.68,0.0,OK
Direct,structure_completeness,0.7446,0.7445964285714287,-3.571428571325086e-06,OK
Direct,inventory_balance_accuracy,1.0,1.0,0.0,OK
Direct,constraint_coverage,0.8775,0.8775,0.0,OK
Direct,average_runtime_sec,0.0852,0.08518070674617775,-1.929325382224456e-05,OK
Direct,average_repair_feedback_count,0.18,0.18,0.0,OK
OR-R1-like Voting,executable_rate,0.94,0.94,0.0,OK
OR-R1-like Voting,optimal_rate,0.82,0.82,0.0,OK
OR-R1-like Voting,objective_accuracy,0.72,0.72,0.0,OK
OR-R1-like Voting,structure_completeness,0.7747,0.7746555555555555,-4.4444444444513564e-05,OK
OR-R1-like Voting,inventory_balance_accuracy,1.0,1.0,0.0,OK
OR-R1-like Voting,constraint_coverage,0.9128,0.9127777777777777,-2.2222222222256782e-05,OK
OR-R1-like Voting,average_runtime_sec,0.0813,0.08127879890380427,-2.1201096195730407e-05,OK
OR-R1-like Voting,average_repair_feedback_count,0.22,0.22,0.0,OK
OptArgus-like Audit,executable_rate,0.94,0.94,0.0,OK
OptArgus-like Audit,optimal_rate,0.82,0.82,0.0,OK
OptArgus-like Audit,objective_accuracy,0.7,0.7,0.0,OK
OptArgus-like Audit,structure_completeness,0.775,0.7750269841269842,2.69841269842086e-05,OK
OptArgus-like Audit,inventory_balance_accuracy,1.0,1.0,0.0,OK
OptArgus-like Audit,constraint_coverage,0.9128,0.9127777777777777,-2.2222222222256782e-05,OK
OptArgus-like Audit,average_runtime_sec,0.0813,0.08127053820295259,-2.94617970474087e-05,OK
OptArgus-like Audit,average_repair_feedback_count,0.22,0.22,0.0,OK
OptiRepair-like Repair-Prompt,executable_rate,0.94,0.94,0.0,OK
OptiRepair-like Repair-Prompt,optimal_rate,0.82,0.82,0.0,OK
OptiRepair-like Repair-Prompt,objective_accuracy,0.7,0.7,0.0,OK
OptiRepair-like Repair-Prompt,structure_completeness,0.775,0.7750269841269842,2.69841269842086e-05,OK
