method,error_type,count,rate,total
Best-of-K,execution_error,3,0.06,50
Best-of-K,missing_capacity_constraint,4,0.08,50
Best-of-K,no_error_detected,30,0.6,50
Best-of-K,objective_mismatch_after_selection,6,0.12,50
Best-of-K,other_missing_structure,1,0.02,50
Best-of-K,solver_not_optimal,6,0.12,50
Consensus only,execution_error,3,0.06,50
Consensus only,missing_capacity_constraint,4,0.08,50
Consensus only,no_error_detected,32,0.64,50
Consensus only,objective_mismatch_after_selection,4,0.08,50
Consensus only,other_missing_structure,1,0.02,50
Consensus only,solver_not_optimal,6,0.12,50
Direct,execution_error,5,0.1,50
Direct,missing_capacity_constraint,4,0.08,50
Direct,no_error_detected,30,0.6,50
Direct,objective_mismatch_after_selection,6,0.12,50
Direct,solver_not_optimal,5,0.1,50
OR-R1-like Voting,execution_error,3,0.06,50
OR-R1-like Voting,missing_capacity_constraint,4,0.08,50
OR-R1-like Voting,no_error_detected,32,0.64,50
OR-R1-like Voting,objective_mismatch_after_selection,4,0.08,50
OR-R1-like Voting,other_missing_structure,1,0.02,50
OR-R1-like Voting,solver_not_optimal,6,0.12,50
OptArgus-like Audit,execution_error,3,0.06,50
OptArgus-like Audit,missing_capacity_constraint,4,0.08,50
OptArgus-like Audit,no_error_detected,31,0.62,50
OptArgus-like Audit,objective_mismatch_after_selection,5,0.1,50
OptArgus-like Audit,other_missing_structure,1,0.02,50
OptArgus-like Audit,solver_not_optimal,6,0.12,50
OptiRepair-like Repair-Prompt,execution_error,3,0.06,50
OptiRepair-like Repair-Prompt,missing_capacity_constraint,4,0.08,50
OptiRepair-like Repair-Prompt,no_error_detected,31,0.62,50
OptiRepair-like Repair-Prompt,objective_mismatch_after_selection,5,0.1,50
OptiRepair-like Repair-Prompt,other_missing_structure,1,0.02,50
OptiRepair-like Repair-Prompt,solver_not_optimal,6,0.12,50
ReplenishVerifier-Full,execution_error,3,0.06,50
ReplenishVerifier-Full,missing_capacity_constraint,4,0.08,50
ReplenishVerifier-Full,no_error_detected,31,0.62,50
ReplenishVerifier-Full,objective_mismatch_after_selection,5,0.1,50
ReplenishVerifier-Full,other_missing_structure,1,0.02,50
ReplenishVerifier-Full,solver_not_optimal,6,0.12,50
ReplenishVerifier-Repair,execution_error,3,0.06,50
ReplenishVerifier-Repair,missing_capacity_constraint,4,0.08,50
ReplenishVerifier-Repair,no_error_detected,31,0.62,50
ReplenishVerifier-Repair,objective_mismatch_after_selection,5,0.1,50
ReplenishVerifier-Repair,other_missing_structure,1,0.02,50
ReplenishVerifier-Repair,solver_not_optimal,6,0.12,50
ReplenishVerifier-TypeAware,execution_error,5,0.1,50
ReplenishVerifier-TypeAware,missing_capacity_constraint,4,0.08,50
ReplenishVerifier-TypeAware,no_error_detected,31,0.62,50
ReplenishVerifier-TypeAware,objective_mismatch_after_selection,5,0.1,50
ReplenishVerifier-TypeAware,other_missing_structure,1,0.02,50
ReplenishVerifier-TypeAware,solver_not_optimal,4,0.08,50
SIRL-like LP-Stats,execution_error,3,0.06,50
SIRL-like LP-Stats,missing_capacity_constraint,4,0.08,50
SIRL-like LP-Stats,no_error_detected,31,0.62,50
SIRL-like LP-Stats,objective_mismatch_after_selection,5,0.1,50
SIRL-like LP-Stats,other_missing_structure,1,0.02,50
SIRL-like LP-Stats,solver_not_optimal,6,0.12,50
Solver + Consensus,execution_error,3,0.06,50
Solver + Consensus,missing_capacity_constraint,4,0.08,50
Solver + Consensus,no_error_detected,32,0.64,50
Solver + Consensus,objective_mismatch_after_selection,4,0.08,50
Solver + Consensus,other_missing_structure,1,0.02,50
Solver + Consensus,solver_not_optimal,6,0.12,50
Solver + Structure,execution_error,3,0.06,50
Solver + Structure,missing_capacity_constraint,4,0.08,50
Solver + Structure,no_error_detected,31,0.62,50
Solver + Structure,objective_mismatch_after_selection,5,0.1,50
Solver + Structure,other_missing_structure,1,0.02,50
Solver + Structure,solver_not_optimal,6,0.12,50
Solver + Structure + Consensus,execution_error,3,0.06,50
Solver + Structure + Consensus,missing_capacity_constraint,4,0.08,50
Solver + Structure + Consensus,no_error_detected,31,0.62,50
Solver + Structure + Consensus,objective_mismatch_after_selection,5,0.1,50
Solver + Structure + Consensus,other_missing_structure,1,0.02,50
Solver + Structure + Consensus,solver_not_optimal,6,0.12,50
Solver only,execution_error,3,0.06,50
Solver only,missing_capacity_constraint,4,0.08,50
Solver only,no_error_detected,31,0.62,50
Solver only,objective_mismatch_after_selection,5,0.1,50
Solver only,other_missing_structure,1,0.02,50
Solver only,solver_not_optimal,6,0.12,50
Solver-Filter,execution_error,3,0.06,50
Solver-Filter,missing_capacity_constraint,4,0.08,50
Solver-Filter,no_error_detected,31,0.62,50
Solver-Filter,objective_mismatch_after_selection,5,0.1,50
Solver-Filter,other_missing_structure,1,0.02,50
Solver-Filter,solver_not_optimal,6,0.12,50
Structure + Consensus,execution_error,3,0.06,50
Structure + Consensus,missing_capacity_constraint,4,0.08,50
Structure + Consensus,no_error_detected,31,0.62,50
Structure + Consensus,objective_mismatch_after_selection,5,0.1,50
Structure + Consensus,other_missing_structure,1,0.02,50
Structure + Consensus,solver_not_optimal,6,0.12,50
Structure only,execution_error,3,0.06,50
Structure only,missing_capacity_constraint,4,0.08,50
Structure only,no_error_detected,31,0.62,50
Structure only,objective_mismatch_after_selection,5,0.1,50
Structure only,other_missing_structure,1,0.02,50
Structure only,solver_not_optimal,6,0.12,50
Structure-Grounded Consistency,execution_error,3,0.06,50
Structure-Grounded Consistency,missing_capacity_constraint,4,0.08,50
Structure-Grounded Consistency,no_error_detected,31,0.62,50
Structure-Grounded Consistency,objective_mismatch_after_selection,5,0.1,50
Structure-Grounded Consistency,other_missing_structure,1,0.02,50
Structure-Grounded Consistency,solver_not_optimal,6,0.12,50
Structure-Only,execution_error,3,0.06,50
Structure-Only,missing_capacity_constraint,4,0.08,50
Structure-Only,no_error_detected,31,0.62,50
Structure-Only,objective_mismatch_after_selection,5,0.1,50
Structure-Only,other_missing_structure,1,0.02,50
Structure-Only,solver_not_optimal,6,0.12,50
