method,n,objective_accuracy_count,objective_accuracy_total,structure_complete_count,structure_complete_total,code_validity_rate,executable_rate,optimal_rate,solver_status_optimal_rate,solver_status_infeasible_rate,solver_status_timeout_rate,solver_status_error_rate,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap,structure_completeness,inventory_balance_accuracy,constraint_coverage,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage,average_runtime_sec,median_runtime_sec,average_repair_feedback_count,objective_accuracy_ci_low,objective_accuracy_ci_high,structure_completeness_ci_low,structure_completeness_ci_high,constraint_coverage_ci_low,constraint_coverage_ci_high
Best-of-K,50,34,50,0,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.68,0.18420065219670917,0.0,0.18420065219670917,0.0,0.7773555555555557,1.0,0.9127777777777777,0.9866666666666667,0.9503546099290779,0.9466666666666668,0.08323032680083997,0.08214446846977808,0.22,0.54,0.8,0.7096464285714285,0.8281964285714288,0.8327777777777777,0.9727777777777777
Consensus only,50,36,50,0,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.72,0.1302913509503461,0.0,0.1302913509503461,0.0,0.7746555555555555,1.0,0.9127777777777777,0.9866666666666667,0.9503546099290779,0.9466666666666668,0.08127879890380427,0.08097432501381263,0.22,0.6,0.84,0.7077261904761903,0.8254833333333331,0.8327777777777777,0.9727777777777777
Direct,50,34,50,0,50,1.0,0.9,0.8,0.8,0.1,0.0,0.1,0.68,0.18182964968822837,0.0,0.18182964968822837,0.0,0.7445964285714287,1.0,0.8775,0.9866666666666667,0.9555555555555556,0.9533333333333335,0.08518070674617775,0.08613119547953829,0.18,0.54,0.8,0.6668436507936506,0.8106154761904765,0.785,0.955
OR-R1-like Voting,50,36,50,0,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.72,0.1302913509503461,0.0,0.1302913509503461,0.0,0.7746555555555555,1.0,0.9127777777777777,0.9866666666666667,0.9503546099290779,0.9466666666666668,0.08127879890380427,0.08097432501381263,0.22,0.6,0.84,0.7077261904761903,0.8254833333333331,0.8327777777777777,0.9727777777777777
OptArgus-like Audit,50,35,50,0,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.13752828827846883,0.0,0.13752828827846883,0.0,0.7750269841269842,1.0,0.9127777777777777,0.9866666666666667,0.9503546099290779,0.9466666666666668,0.08127053820295259,0.0805450585030485,0.22,0.56,0.82,0.7073238095238097,0.8254476190476191,0.8327777777777777,0.9727777777777777
OptiRepair-like Repair-Prompt,50,35,50,0,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.13752828827846883,0.0,0.13752828827846883,0.0,0.7750269841269842,1.0,0.9127777777777777,0.9866666666666667,0.9503546099290779,0.9466666666666668,0.08127053820295259,0.0805450585030485,0.22,0.56,0.82,0.7073238095238097,0.8254476190476191,0.8327777777777777,0.9727777777777777
ReplenishVerifier-Full,50,35,50,0,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0,0.7773555555555557,1.0,0.9127777777777777,0.9866666666666667,0.9503546099290779,0.9466666666666668,0.08686748778563924,0.08769971353467554,0.22,0.56,0.82,0.7096464285714285,0.8281964285714288,0.8327777777777777,0.9727777777777777
ReplenishVerifier-Repair,50,35,50,0,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0,0.7773555555555557,1.0,0.9127777777777777,0.9866666666666667,0.9503546099290779,0.9466666666666668,0.08686748778563924,0.08769971353467554,0.22,0.56,0.82,0.7096464285714285,0.8281964285714288,0.8327777777777777,0.9727777777777777
ReplenishVerifier-TypeAware,50,35,50,0,50,1.0,0.9,0.82,0.82,0.08,0.0,0.1,0.7,0.16497179681864782,0.0,0.16497179681864782,0.0,0.7482722222222222,1.0,0.8777777777777778,0.9866666666666667,0.9481481481481481,0.9466666666666668,0.08115080856019631,0.0804023559903726,0.16,0.56,0.82,0.665854761904762,0.8139369047619048,0.7825,0.9552777777777777
SIRL-like LP-Stats,50,35,50,0,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.7,0.13752828827846883,0.0,0.13752828827846883,0.0,0.7746936507936509,1.0,0.9127777777777777,0.9866666666666667,0.9503546099290779,0.9466666666666668,0.08147719872184098,0.08097432501381263,0.22,0.56,0.82,0.7073238095238097,0.8254261904761903,0.8327777777777777,0.9727777777777777
Solver + Consensus,50,36,50,0,50,1.0,0.94,0.82,0.82,0.12,0.0,0.06,0.72,0.1302913509503461,0.0,0.1302913509503461,0.0,0.7746555555555555,1.0,0.9127777777777777,0.9866666666666667,0.9503546099290779,0.9466666666666668,0.08127879890380427,0.08097432501381263,0.22,0.6,0.84,0.7077261904761903,0.8254833333333331,0.8327777777777777,0.9727777777777777
