method,error_type,count,rate
Best-of-K,execution_error,3,0.06
Best-of-K,missing_capacity_constraint,4,0.08
Best-of-K,no_error_detected,30,0.6
Best-of-K,objective_mismatch_after_selection,6,0.12
Best-of-K,other_missing_structure,1,0.02
Best-of-K,solver_not_optimal,6,0.12
Consensus only,execution_error,3,0.06
Consensus only,missing_capacity_constraint,4,0.08
Consensus only,no_error_detected,32,0.64
Consensus only,objective_mismatch_after_selection,4,0.08
Consensus only,other_missing_structure,1,0.02
Consensus only,solver_not_optimal,6,0.12
Direct,execution_error,5,0.1
Direct,missing_capacity_constraint,4,0.08
Direct,no_error_detected,30,0.6
Direct,objective_mismatch_after_selection,6,0.12
Direct,solver_not_optimal,5,0.1
OR-R1-like Voting,execution_error,3,0.06
OR-R1-like Voting,missing_capacity_constraint,4,0.08
OR-R1-like Voting,no_error_detected,32,0.64
OR-R1-like Voting,objective_mismatch_after_selection,4,0.08
OR-R1-like Voting,other_missing_structure,1,0.02
OR-R1-like Voting,solver_not_optimal,6,0.12
OptArgus-like Audit,execution_error,3,0.06
OptArgus-like Audit,missing_capacity_constraint,4,0.08
OptArgus-like Audit,no_error_detected,31,0.62
OptArgus-like Audit,objective_mismatch_after_selection,5,0.1
OptArgus-like Audit,other_missing_structure,1,0.02
OptArgus-like Audit,solver_not_optimal,6,0.12
OptiRepair-like Repair-Prompt,execution_error,3,0.06
OptiRepair-like Repair-Prompt,missing_capacity_constraint,4,0.08
OptiRepair-like Repair-Prompt,no_error_detected,31,0.62
OptiRepair-like Repair-Prompt,objective_mismatch_after_selection,5,0.1
OptiRepair-like Repair-Prompt,other_missing_structure,1,0.02
OptiRepair-like Repair-Prompt,solver_not_optimal,6,0.12
ReplenishVerifier-Full,execution_error,3,0.06
ReplenishVerifier-Full,missing_capacity_constraint,4,0.08
ReplenishVerifier-Full,no_error_detected,31,0.62
ReplenishVerifier-Full,objective_mismatch_after_selection,5,0.1
ReplenishVerifier-Full,other_missing_structure,1,0.02
ReplenishVerifier-Full,solver_not_optimal,6,0.12
ReplenishVerifier-Repair,execution_error,3,0.06
ReplenishVerifier-Repair,missing_capacity_constraint,4,0.08
ReplenishVerifier-Repair,no_error_detected,31,0.62
ReplenishVerifier-Repair,objective_mismatch_after_selection,5,0.1
ReplenishVerifier-Repair,other_missing_structure,1,0.02
ReplenishVerifier-Repair,solver_not_optimal,6,0.12
ReplenishVerifier-TypeAware,execution_error,5,0.1
ReplenishVerifier-TypeAware,missing_capacity_constraint,4,0.08
ReplenishVerifier-TypeAware,no_error_detected,31,0.62
ReplenishVerifier-TypeAware,objective_mismatch_after_selection,5,0.1
ReplenishVerifier-TypeAware,other_missing_structure,1,0.02
ReplenishVerifier-TypeAware,solver_not_optimal,4,0.08
SIRL-like LP-Stats,execution_error,3,0.06
SIRL-like LP-Stats,missing_capacity_constraint,4,0.08
SIRL-like LP-Stats,no_error_detected,31,0.62
SIRL-like LP-Stats,objective_mismatch_after_selection,5,0.1
SIRL-like LP-Stats,other_missing_structure,1,0.02
SIRL-like LP-Stats,solver_not_optimal,6,0.12
Solver + Consensus,execution_error,3,0.06
Solver + Consensus,missing_capacity_constraint,4,0.08
Solver + Consensus,no_error_detected,32,0.64
Solver + Consensus,objective_mismatch_after_selection,4,0.08
Solver + Consensus,other_missing_structure,1,0.02
Solver + Consensus,solver_not_optimal,6,0.12
Solver + Structure,execution_error,3,0.06
Solver + Structure,missing_capacity_constraint,4,0.08
Solver + Structure,no_error_detected,31,0.62
Solver + Structure,objective_mismatch_after_selection,5,0.1
Solver + Structure,other_missing_structure,1,0.02
Solver + Structure,solver_not_optimal,6,0.12
Solver + Structure + Consensus,execution_error,3,0.06
Solver + Structure + Consensus,missing_capacity_constraint,4,0.08
Solver + Structure + Consensus,no_error_detected,31,0.62
Solver + Structure + Consensus,objective_mismatch_after_selection,5,0.1
Solver + Structure + Consensus,other_missing_structure,1,0.02
Solver + Structure + Consensus,solver_not_optimal,6,0.12
Solver only,execution_error,3,0.06
Solver only,missing_capacity_constraint,4,0.08
Solver only,no_error_detected,31,0.62
Solver only,objective_mismatch_after_selection,5,0.1
Solver only,other_missing_structure,1,0.02
Solver only,solver_not_optimal,6,0.12
Solver-Filter,execution_error,3,0.06
Solver-Filter,missing_capacity_constraint,4,0.08
Solver-Filter,no_error_detected,31,0.62
Solver-Filter,objective_mismatch_after_selection,5,0.1
Solver-Filter,other_missing_structure,1,0.02
Solver-Filter,solver_not_optimal,6,0.12
Structure + Consensus,execution_error,3,0.06
Structure + Consensus,missing_capacity_constraint,4,0.08
Structure + Consensus,no_error_detected,31,0.62
Structure + Consensus,objective_mismatch_after_selection,5,0.1
Structure + Consensus,other_missing_structure,1,0.02
Structure + Consensus,solver_not_optimal,6,0.12
Structure only,execution_error,3,0.06
Structure only,missing_capacity_constraint,4,0.08
Structure only,no_error_detected,31,0.62
Structure only,objective_mismatch_after_selection,5,0.1
Structure only,other_missing_structure,1,0.02
Structure only,solver_not_optimal,6,0.12
Structure-Grounded Consistency,execution_error,3,0.06
Structure-Grounded Consistency,missing_capacity_constraint,4,0.08
Structure-Grounded Consistency,no_error_detected,31,0.62
Structure-Grounded Consistency,objective_mismatch_after_selection,5,0.1
Structure-Grounded Consistency,other_missing_structure,1,0.02
Structure-Grounded Consistency,solver_not_optimal,6,0.12
Structure-Only,execution_error,3,0.06
Structure-Only,missing_capacity_constraint,4,0.08
Structure-Only,no_error_detected,31,0.62
Structure-Only,objective_mismatch_after_selection,5,0.1
Structure-Only,other_missing_structure,1,0.02
Structure-Only,solver_not_optimal,6,0.12
