method,n,code_validity_rate,executable_rate,optimal_rate,objective_accuracy,objective_accuracy_count,objective_accuracy_total,structure_completeness,structure_complete_count,structure_complete_total,constraint_coverage,objective_term_coverage
Best-of-K,50,1.0,0.94,0.82,0.68,34,50,0.7773555555555557,0,50,0.9127777777777777,0.9466666666666668
Consensus only,50,1.0,0.94,0.82,0.72,36,50,0.7746555555555555,0,50,0.9127777777777777,0.9466666666666668
Direct,50,1.0,0.9,0.8,0.68,34,50,0.7445964285714287,0,50,0.8775,0.9533333333333335
OR-R1-like Voting,50,1.0,0.94,0.82,0.72,36,50,0.7746555555555555,0,50,0.9127777777777777,0.9466666666666668
OptArgus-like Audit,50,1.0,0.94,0.82,0.7,35,50,0.7750269841269842,0,50,0.9127777777777777,0.9466666666666668
OptiRepair-like Repair-Prompt,50,1.0,0.94,0.82,0.7,35,50,0.7750269841269842,0,50,0.9127777777777777,0.9466666666666668
ReplenishVerifier-Full,50,1.0,0.94,0.82,0.7,35,50,0.7773555555555557,0,50,0.9127777777777777,0.9466666666666668
ReplenishVerifier-Repair,50,1.0,0.94,0.82,0.7,35,50,0.7773555555555557,0,50,0.9127777777777777,0.9466666666666668
ReplenishVerifier-TypeAware,50,1.0,0.9,0.82,0.7,35,50,0.7482722222222222,0,50,0.8777777777777778,0.9466666666666668
SIRL-like LP-Stats,50,1.0,0.94,0.82,0.7,35,50,0.7746936507936509,0,50,0.9127777777777777,0.9466666666666668
Solver + Consensus,50,1.0,0.94,0.82,0.72,36,50,0.7746555555555555,0,50,0.9127777777777777,0.9466666666666668
Solver + Structure,50,1.0,0.94,0.82,0.7,35,50,0.7773555555555557,0,50,0.9127777777777777,0.9466666666666668
Solver + Structure + Consensus,50,1.0,0.94,0.82,0.7,35,50,0.7770222222222223,0,50,0.9127777777777777,0.9466666666666668
Solver only,50,1.0,0.94,0.82,0.7,35,50,0.7742269841269841,0,50,0.9127777777777777,0.9466666666666668
Solver-Filter,50,1.0,0.94,0.82,0.7,35,50,0.7742269841269841,0,50,0.9127777777777777,0.9466666666666668
Structure + Consensus,50,1.0,0.94,0.82,0.7,35,50,0.7770222222222223,0,50,0.9127777777777777,0.9466666666666668
Structure only,50,1.0,0.94,0.82,0.7,35,50,0.7773555555555557,0,50,0.9127777777777777,0.9466666666666668
Structure-Grounded Consistency,50,1.0,0.94,0.82,0.7,35,50,0.7770222222222223,0,50,0.9127777777777777,0.9466666666666668
Structure-Only,50,1.0,0.94,0.82,0.7,35,50,0.7773555555555557,0,50,0.9127777777777777,0.9466666666666668
