method,n,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap
Best-of-K,50,0.68,0.18420065219670917,0.0,0.18420065219670917,0.0
Consensus only,50,0.72,0.1302913509503461,0.0,0.1302913509503461,0.0
Direct,50,0.68,0.18182964968822837,0.0,0.18182964968822837,0.0
OR-R1-like Voting,50,0.72,0.1302913509503461,0.0,0.1302913509503461,0.0
OptArgus-like Audit,50,0.7,0.13752828827846883,0.0,0.13752828827846883,0.0
OptiRepair-like Repair-Prompt,50,0.7,0.13752828827846883,0.0,0.13752828827846883,0.0
ReplenishVerifier-Full,50,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0
ReplenishVerifier-Repair,50,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0
ReplenishVerifier-TypeAware,50,0.7,0.16497179681864782,0.0,0.16497179681864782,0.0
SIRL-like LP-Stats,50,0.7,0.13752828827846883,0.0,0.13752828827846883,0.0
Solver + Consensus,50,0.72,0.1302913509503461,0.0,0.1302913509503461,0.0
Solver + Structure,50,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0
Solver + Structure + Consensus,50,0.7,0.16566689568246606,0.0,0.16566689568246606,0.0
Solver only,50,0.7,0.13752828827846883,0.0,0.13752828827846883,0.0
Solver-Filter,50,0.7,0.13752828827846883,0.0,0.13752828827846883,0.0
Structure + Consensus,50,0.7,0.16566689568246606,0.0,0.16566689568246606,0.0
Structure only,50,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0
Structure-Grounded Consistency,50,0.7,0.16566689568246606,0.0,0.16566689568246606,0.0
Structure-Only,50,0.7,0.1808891197850857,0.0,0.1808891197850857,0.0
