method,n,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage
Best-of-K,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
Consensus only,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
Direct,50,0.9866666666666667,0.9555555555555556,0.9533333333333335
OR-R1-like Voting,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
OptArgus-like Audit,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
OptiRepair-like Repair-Prompt,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
ReplenishVerifier-Full,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
ReplenishVerifier-Repair,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
ReplenishVerifier-TypeAware,50,0.9866666666666667,0.9481481481481481,0.9466666666666668
SIRL-like LP-Stats,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
Solver + Consensus,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
Solver + Structure,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
Solver + Structure + Consensus,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
Solver only,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
Solver-Filter,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
Structure + Consensus,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
Structure only,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
Structure-Grounded Consistency,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
Structure-Only,50,0.9866666666666667,0.9503546099290779,0.9466666666666668
