method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,50,0.08323032680083997,0.08214446846977808,0.22
Consensus only,50,0.08127879890380427,0.08097432501381263,0.22
Direct,50,0.08518070674617775,0.08613119547953829,0.18
OR-R1-like Voting,50,0.08127879890380427,0.08097432501381263,0.22
OptArgus-like Audit,50,0.08127053820295259,0.0805450585030485,0.22
OptiRepair-like Repair-Prompt,50,0.08127053820295259,0.0805450585030485,0.22
ReplenishVerifier-Full,50,0.08686748778563924,0.08769971353467554,0.22
ReplenishVerifier-Repair,50,0.08686748778563924,0.08769971353467554,0.22
ReplenishVerifier-TypeAware,50,0.08115080856019631,0.0804023559903726,0.16
SIRL-like LP-Stats,50,0.08147719872184098,0.08097432501381263,0.22
Solver + Consensus,50,0.08127879890380427,0.08097432501381263,0.22
Solver + Structure,50,0.08675927020492963,0.08769971353467554,0.22
Solver + Structure + Consensus,50,0.08657518948544748,0.08769971353467554,0.22
Solver only,50,0.08131395018426701,0.0805450585030485,0.22
Solver-Filter,50,0.08131395018426701,0.0805450585030485,0.22
Structure + Consensus,50,0.08657518948544748,0.08769971353467554,0.22
Structure only,50,0.08675927020492963,0.08769971353467554,0.22
Structure-Grounded Consistency,50,0.08657518948544748,0.08769971353467554,0.22
Structure-Only,50,0.08675927020492963,0.08769971353467554,0.22
