hard_subset,method,n,objective_accuracy,structure_completeness,constraint_coverage,objective_term_coverage,safe_consensus_score_mean,wrong_consensus_risk_mean
capacity_or_fixed_or_shortage,Best-of-K,60,0.75,0.8313842592592592,0.975,0.9944444444444444,0.7212301587301587,0.0
capacity_or_fixed_or_shortage,Consensus only,60,0.8333333333333334,0.8102662037037037,0.9604166666666667,0.9777777777777776,0.7811507936507935,0.0
capacity_or_fixed_or_shortage,Direct,60,0.65,0.7823703703703706,0.9291666666666667,0.9555555555555553,0.6226190476190477,0.0
capacity_or_fixed_or_shortage,ReplenishVerifier-ConsensusSafe,60,0.8333333333333334,0.8381550925925925,0.9833333333333333,1.0,0.7811507936507935,0.0
capacity_or_fixed_or_shortage,ReplenishVerifier-Full,60,0.8166666666666667,0.8386759259259259,0.9833333333333333,1.0,0.7193016617063489,0.05073802083333331
capacity_or_fixed_or_shortage,ReplenishVerifier-FullV2,60,0.8166666666666667,0.8386759259259259,0.9833333333333333,1.0,0.7700396825396826,0.0
capacity_or_fixed_or_shortage,ReplenishVerifier-HybridSafe,60,0.8333333333333334,0.8381550925925925,0.9833333333333333,1.0,0.7811507936507935,0.0
capacity_or_fixed_or_shortage,ReplenishVerifier-TypeAware,60,0.8333333333333334,0.8131550925925926,0.9541666666666667,1.0,0.7811507936507935,0.0
capacity_or_fixed_or_shortage,ReplenishVerifier-TypeAware-Consensus,60,0.85,0.8381550925925925,0.9833333333333333,1.0,0.7281468005952377,0.0509206597222222
fixed_order_cost_big_m,Best-of-K,20,0.95,0.8707499999999999,1.0,0.9833333333333334,0.9428571428571428,0.0
fixed_order_cost_big_m,Consensus only,20,0.95,0.85625,1.0,0.9333333333333332,0.9428571428571428,0.0
fixed_order_cost_big_m,Direct,20,0.95,0.806,0.95,0.8666666666666665,0.8866071428571429,0.0
fixed_order_cost_big_m,ReplenishVerifier-ConsensusSafe,20,0.95,0.8707499999999999,1.0,1.0,0.9428571428571428,0.0
fixed_order_cost_big_m,ReplenishVerifier-Full,20,0.95,0.8707499999999999,1.0,1.0,0.9307558035714287,0.012101339285714247
fixed_order_cost_big_m,ReplenishVerifier-FullV2,20,0.95,0.8707499999999999,1.0,1.0,0.9428571428571428,0.0
fixed_order_cost_big_m,ReplenishVerifier-HybridSafe,20,0.95,0.8707499999999999,1.0,1.0,0.9428571428571428,0.0
fixed_order_cost_big_m,ReplenishVerifier-TypeAware,20,0.95,0.8707499999999999,1.0,1.0,0.9428571428571428,0.0
fixed_order_cost_big_m,ReplenishVerifier-TypeAware-Consensus,20,1.0,0.8707499999999999,1.0,1.0,0.9246089285714287,0.011998214285714248
multi_item_capacity,Best-of-K,20,0.5,0.7631249999999999,0.925,1.0,0.5092261904761906,0.0
multi_item_capacity,Consensus only,20,0.6,0.7234375,0.88125,1.0,0.5782738095238095,0.0
multi_item_capacity,Direct,20,0.45,0.6875,0.8375,1.0,0.43660714285714286,0.0
multi_item_capacity,ReplenishVerifier-ConsensusSafe,20,0.6,0.7834375,0.95,1.0,0.5782738095238095,0.0
multi_item_capacity,ReplenishVerifier-Full,20,0.55,0.7849999999999999,0.95,1.0,0.4163113839285715,0.1286290922619047
multi_item_capacity,ReplenishVerifier-FullV2,20,0.55,0.7849999999999999,0.95,1.0,0.5449404761904763,0.0
multi_item_capacity,ReplenishVerifier-HybridSafe,20,0.6,0.7834375,0.95,1.0,0.5782738095238095,0.0
multi_item_capacity,ReplenishVerifier-TypeAware,20,0.6,0.7084374999999999,0.8625,1.0,0.5782738095238095,0.0
multi_item_capacity,ReplenishVerifier-TypeAware-Consensus,20,0.6,0.7834375,0.95,1.0,0.4489936755952382,0.12928013392857135
other,Best-of-K,40,0.825,0.7609325396825398,0.8861111111111111,0.7666666666666667,0.7977678571428573,0.0
other,Consensus only,40,0.825,0.7570833333333336,0.8861111111111111,0.8083333333333332,0.8290178571428573,0.0
other,Direct,40,0.775,0.6987103174603176,0.8166666666666667,0.8833333333333332,0.7540178571428572,0.0
other,ReplenishVerifier-ConsensusSafe,40,0.825,0.759543650793651,0.8861111111111111,0.8083333333333332,0.8290178571428573,0.0
other,ReplenishVerifier-Full,40,0.85,0.7609325396825398,0.8861111111111111,0.7916666666666667,0.740060409580499,0.07645744756235819
other,ReplenishVerifier-FullV2,40,0.85,0.7609325396825398,0.8861111111111111,0.7916666666666667,0.8165178571428573,0.0
other,ReplenishVerifier-HybridSafe,40,0.825,0.759543650793651,0.8861111111111111,0.8083333333333332,0.8290178571428573,0.0
other,ReplenishVerifier-TypeAware,40,0.825,0.7317658730158733,0.8527777777777779,0.8416666666666666,0.8290178571428573,0.0
other,ReplenishVerifier-TypeAware-Consensus,40,0.85,0.7609325396825398,0.8861111111111111,0.7916666666666667,0.740060409580499,0.07645744756235819
single_item_multi_period_shortage,Best-of-K,20,0.8,0.8602777777777776,1.0,1.0,0.7116071428571429,0.0
single_item_multi_period_shortage,Consensus only,20,0.95,0.8511111111111113,1.0,1.0,0.8223214285714286,0.0
single_item_multi_period_shortage,Direct,20,0.55,0.8536111111111111,1.0,1.0,0.5446428571428571,0.0
single_item_multi_period_shortage,ReplenishVerifier-ConsensusSafe,20,0.95,0.8602777777777776,1.0,1.0,0.8223214285714286,0.0
