method_a,method_b,same_selection_rate,objective_accuracy_a,objective_accuracy_b,recommendation
Best-of-K,Consensus only,0.55,0.78,0.83,distinct_selection
Best-of-K,Direct,0.19,0.78,0.7,distinct_selection
Best-of-K,ReplenishVerifier-ConsensusSafe,0.82,0.78,0.83,distinct_selection
Best-of-K,ReplenishVerifier-Full,0.48,0.78,0.83,distinct_selection
Best-of-K,ReplenishVerifier-FullV2,0.48,0.78,0.83,distinct_selection
Best-of-K,ReplenishVerifier-HybridSafe,0.82,0.78,0.83,distinct_selection
Best-of-K,ReplenishVerifier-TypeAware,0.78,0.78,0.83,distinct_selection
Best-of-K,ReplenishVerifier-TypeAware-Consensus,0.75,0.78,0.85,distinct_selection
Best-of-K,Solver only,0.6,0.78,0.78,distinct_selection
Best-of-K,Structure only,0.48,0.78,0.82,distinct_selection
Consensus only,Direct,0.14,0.83,0.7,distinct_selection
Consensus only,ReplenishVerifier-ConsensusSafe,0.62,0.83,0.83,distinct_selection
Consensus only,ReplenishVerifier-Full,0.17,0.83,0.83,distinct_selection
Consensus only,ReplenishVerifier-FullV2,0.17,0.83,0.83,distinct_selection
Consensus only,ReplenishVerifier-HybridSafe,0.62,0.83,0.83,distinct_selection
Consensus only,ReplenishVerifier-TypeAware,0.58,0.83,0.83,distinct_selection
Consensus only,ReplenishVerifier-TypeAware-Consensus,0.55,0.83,0.85,distinct_selection
Consensus only,Solver only,0.95,0.83,0.78,high_overlap_consider_merge_explanation
Consensus only,Structure only,0.18,0.83,0.82,distinct_selection
Direct,ReplenishVerifier-ConsensusSafe,0.09,0.7,0.83,distinct_selection
Direct,ReplenishVerifier-Full,0.48,0.7,0.83,distinct_selection
Direct,ReplenishVerifier-FullV2,0.48,0.7,0.83,distinct_selection
Direct,ReplenishVerifier-HybridSafe,0.09,0.7,0.83,distinct_selection
Direct,ReplenishVerifier-TypeAware,0.06,0.7,0.83,distinct_selection
Direct,ReplenishVerifier-TypeAware-Consensus,0.1,0.7,0.85,distinct_selection
Direct,Solver only,0.14,0.7,0.78,distinct_selection
Direct,Structure only,0.54,0.7,0.82,distinct_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-Full,0.43,0.83,0.83,distinct_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-FullV2,0.43,0.83,0.83,distinct_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-HybridSafe,1.0,0.83,0.83,alias_like_same_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware,0.95,0.83,0.83,high_overlap_consider_merge_explanation
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware-Consensus,0.88,0.83,0.85,distinct_selection
ReplenishVerifier-ConsensusSafe,Solver only,0.6,0.83,0.78,distinct_selection
ReplenishVerifier-ConsensusSafe,Structure only,0.41,0.83,0.82,distinct_selection
ReplenishVerifier-Full,ReplenishVerifier-FullV2,1.0,0.83,0.83,alias_like_same_selection
ReplenishVerifier-Full,ReplenishVerifier-HybridSafe,0.43,0.83,0.83,distinct_selection
ReplenishVerifier-Full,ReplenishVerifier-TypeAware,0.39,0.83,0.83,distinct_selection
ReplenishVerifier-Full,ReplenishVerifier-TypeAware-Consensus,0.53,0.83,0.85,distinct_selection
ReplenishVerifier-Full,Solver only,0.18,0.83,0.78,distinct_selection
ReplenishVerifier-Full,Structure only,0.93,0.83,0.82,distinct_selection
ReplenishVerifier-FullV2,ReplenishVerifier-HybridSafe,0.43,0.83,0.83,distinct_selection
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware,0.39,0.83,0.83,distinct_selection
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware-Consensus,0.53,0.83,0.85,distinct_selection
ReplenishVerifier-FullV2,Solver only,0.18,0.83,0.78,distinct_selection
ReplenishVerifier-FullV2,Structure only,0.93,0.83,0.82,distinct_selection
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware,0.95,0.83,0.83,high_overlap_consider_merge_explanation
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware-Consensus,0.88,0.83,0.85,distinct_selection
ReplenishVerifier-HybridSafe,Solver only,0.6,0.83,0.78,distinct_selection
ReplenishVerifier-HybridSafe,Structure only,0.41,0.83,0.82,distinct_selection
ReplenishVerifier-TypeAware,ReplenishVerifier-TypeAware-Consensus,0.83,0.83,0.85,distinct_selection
ReplenishVerifier-TypeAware,Solver only,0.56,0.83,0.78,distinct_selection
ReplenishVerifier-TypeAware,Structure only,0.37,0.83,0.82,distinct_selection
ReplenishVerifier-TypeAware-Consensus,Solver only,0.53,0.85,0.78,distinct_selection
ReplenishVerifier-TypeAware-Consensus,Structure only,0.49,0.85,0.82,distinct_selection
Solver only,Structure only,0.19,0.78,0.82,distinct_selection
