method,problem_id,candidate_id,problem_type,difficulty,error_type,objective_correct,structure_score,feedback
Direct,single_period_newsvendor_0000,Qwen3-8B_k0,single_period_newsvendor,easy,no_error_detected,1.0,0.8611111111111112,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_period_newsvendor_0001,Qwen3-8B_k0,single_period_newsvendor,easy,no_error_detected,1.0,0.8611111111111112,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_period_newsvendor_0002,Qwen3-8B_k0,single_period_newsvendor,easy,execution_error,0.0,0.0,"LP artifact is unavailable, so structure feedback is unavailable."
Direct,single_period_newsvendor_0003,Qwen3-8B_k0,single_period_newsvendor,easy,solver_not_optimal,0.0,0.5555555555555556,"结构验证发现以下问题：
- [shortage_variable] evidence_strength=none, rule_score=0.000: 题目允许缺货或包含缺货惩罚，但你的模型没有可用的缺货变量。应加入 B[t] 或 B[i,t]，并让其参与目标函数或库存/需求约束。
  Repair hint: Add shortage/backlog variables, e.g. B[t] or B[i,t], and use them in the objective or balance/demand constraints.
- [shortage_cost] evidence_strength=none, rule_score=0.000: 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
  Repair hint: Include shortage_cost * B[t] terms in the objective.
- [demand_satisfaction] evidence_strength=none, rule_score=0.000: 缺少结构：demand_satisfaction
  Repair hint: Add a single-period demand satisfaction equality such as Q + B - I = demand.
当前结构完整性分数为 0.556。请优先修复上述低证据强度结构。"
Direct,single_period_newsvendor_0004,Qwen3-8B_k0,single_period_newsvendor,easy,execution_error,0.0,0.0,"LP artifact is unavailable, so structure feedback is unavailable."
Direct,single_period_newsvendor_0005,Qwen3-8B_k0,single_period_newsvendor,easy,execution_error,0.0,0.0,"LP artifact is unavailable, so structure feedback is unavailable."
Direct,single_period_newsvendor_0006,Qwen3-8B_k0,single_period_newsvendor,easy,no_error_detected,1.0,0.8611111111111112,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_period_newsvendor_0007,Qwen3-8B_k0,single_period_newsvendor,easy,no_error_detected,1.0,0.8611111111111112,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_period_newsvendor_0008,Qwen3-8B_k0,single_period_newsvendor,easy,no_error_detected,1.0,0.8333333333333334,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_period_newsvendor_0009,Qwen3-8B_k0,single_period_newsvendor,easy,no_error_detected,1.0,0.8611111111111112,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_period_newsvendor_0010,Qwen3-8B_k0,single_period_newsvendor,easy,no_error_detected,1.0,0.8611111111111112,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_period_newsvendor_0011,Qwen3-8B_k0,single_period_newsvendor,easy,no_error_detected,1.0,0.8611111111111112,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_period_newsvendor_0012,Qwen3-8B_k0,single_period_newsvendor,easy,execution_error,0.0,0.0,"LP artifact is unavailable, so structure feedback is unavailable."
Direct,single_period_newsvendor_0013,Qwen3-8B_k0,single_period_newsvendor,easy,execution_error,0.0,0.0,"LP artifact is unavailable, so structure feedback is unavailable."
Direct,single_period_newsvendor_0014,Qwen3-8B_k0,single_period_newsvendor,easy,no_error_detected,1.0,0.8611111111111112,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_period_newsvendor_0015,Qwen3-8B_k0,single_period_newsvendor,easy,execution_error,0.0,0.0,"LP artifact is unavailable, so structure feedback is unavailable."
Direct,single_period_newsvendor_0016,Qwen3-8B_k0,single_period_newsvendor,easy,objective_mismatch_after_selection,0.0,0.8333333333333334,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_period_newsvendor_0017,Qwen3-8B_k0,single_period_newsvendor,easy,execution_error,0.0,0.0,"LP artifact is unavailable, so structure feedback is unavailable."
Direct,single_period_newsvendor_0018,Qwen3-8B_k0,single_period_newsvendor,easy,no_error_detected,1.0,0.8333333333333334,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_period_newsvendor_0019,Qwen3-8B_k0,single_period_newsvendor,easy,no_error_detected,1.0,0.8611111111111112,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_item_multi_period_0000,Qwen3-8B_k0,single_item_multi_period,medium,no_error_detected,1.0,0.8571428571428571,结构验证通过：模型包含题目所需的关键库存补货结构。
Direct,single_item_multi_period_0001,Qwen3-8B_k0,single_item_multi_period,medium,no_error_detected,1.0,0.8571428571428571,结构验证通过：模型包含题目所需的关键库存补货结构。
