method,error_type,count,rate,total
Best-of-K,execution_error,3,0.03,100
Best-of-K,missing_capacity_constraint,4,0.04,100
Best-of-K,missing_shortage_variable,2,0.02,100
Best-of-K,no_error_detected,74,0.74,100
Best-of-K,objective_mismatch_after_selection,7,0.07,100
Best-of-K,solver_not_optimal,10,0.1,100
Consensus only,execution_error,3,0.03,100
Consensus only,missing_capacity_constraint,11,0.11,100
Consensus only,missing_shortage_variable,2,0.02,100
Consensus only,no_error_detected,71,0.71,100
Consensus only,objective_mismatch_after_selection,3,0.03,100
Consensus only,solver_not_optimal,10,0.1,100
Direct,execution_error,9,0.09,100
Direct,missing_capacity_constraint,9,0.09,100
Direct,no_error_detected,61,0.61,100
Direct,objective_mismatch_after_selection,8,0.08,100
Direct,solver_not_optimal,13,0.13,100
ReplenishVerifier-ConsensusSafe,execution_error,3,0.03,100
ReplenishVerifier-ConsensusSafe,missing_capacity_constraint,4,0.04,100
ReplenishVerifier-ConsensusSafe,missing_shortage_variable,2,0.02,100
ReplenishVerifier-ConsensusSafe,no_error_detected,78,0.78,100
ReplenishVerifier-ConsensusSafe,objective_mismatch_after_selection,3,0.03,100
ReplenishVerifier-ConsensusSafe,solver_not_optimal,10,0.1,100
ReplenishVerifier-Full,execution_error,3,0.03,100
ReplenishVerifier-Full,missing_capacity_constraint,4,0.04,100
ReplenishVerifier-Full,missing_shortage_variable,2,0.02,100
ReplenishVerifier-Full,no_error_detected,78,0.78,100
ReplenishVerifier-Full,objective_mismatch_after_selection,3,0.03,100
ReplenishVerifier-Full,solver_not_optimal,10,0.1,100
ReplenishVerifier-FullV2,execution_error,3,0.03,100
ReplenishVerifier-FullV2,missing_capacity_constraint,4,0.04,100
ReplenishVerifier-FullV2,missing_shortage_variable,2,0.02,100
ReplenishVerifier-FullV2,no_error_detected,78,0.78,100
ReplenishVerifier-FullV2,objective_mismatch_after_selection,3,0.03,100
ReplenishVerifier-FullV2,solver_not_optimal,10,0.1,100
ReplenishVerifier-HybridSafe,execution_error,3,0.03,100
ReplenishVerifier-HybridSafe,missing_capacity_constraint,4,0.04,100
ReplenishVerifier-HybridSafe,missing_shortage_variable,2,0.02,100
ReplenishVerifier-HybridSafe,no_error_detected,78,0.78,100
ReplenishVerifier-HybridSafe,objective_mismatch_after_selection,3,0.03,100
ReplenishVerifier-HybridSafe,solver_not_optimal,10,0.1,100
ReplenishVerifier-TypeAware,execution_error,7,0.07,100
ReplenishVerifier-TypeAware,missing_capacity_constraint,4,0.04,100
ReplenishVerifier-TypeAware,missing_shortage_variable,2,0.02,100
ReplenishVerifier-TypeAware,no_error_detected,78,0.78,100
ReplenishVerifier-TypeAware,objective_mismatch_after_selection,3,0.03,100
ReplenishVerifier-TypeAware,solver_not_optimal,6,0.06,100
ReplenishVerifier-TypeAware-Consensus,execution_error,3,0.03,100
ReplenishVerifier-TypeAware-Consensus,missing_capacity_constraint,4,0.04,100
ReplenishVerifier-TypeAware-Consensus,missing_shortage_variable,2,0.02,100
ReplenishVerifier-TypeAware-Consensus,no_error_detected,80,0.8,100
ReplenishVerifier-TypeAware-Consensus,objective_mismatch_after_selection,1,0.01,100
ReplenishVerifier-TypeAware-Consensus,solver_not_optimal,10,0.1,100
Solver only,execution_error,3,0.03,100
Solver only,missing_capacity_constraint,10,0.1,100
Solver only,missing_shortage_variable,2,0.02,100
Solver only,no_error_detected,68,0.68,100
Solver only,objective_mismatch_after_selection,7,0.07,100
Solver only,solver_not_optimal,10,0.1,100
Structure only,execution_error,3,0.03,100
Structure only,missing_capacity_constraint,4,0.04,100
Structure only,missing_shortage_variable,2,0.02,100
Structure only,no_error_detected,77,0.77,100
Structure only,objective_mismatch_after_selection,4,0.04,100
Structure only,solver_not_optimal,10,0.1,100
