method,error_type,count,rate
Best-of-K,execution_error,3,0.03
Best-of-K,missing_capacity_constraint,4,0.04
Best-of-K,missing_shortage_variable,2,0.02
Best-of-K,no_error_detected,74,0.74
Best-of-K,objective_mismatch_after_selection,7,0.07
Best-of-K,solver_not_optimal,10,0.1
Consensus only,execution_error,3,0.03
Consensus only,missing_capacity_constraint,11,0.11
Consensus only,missing_shortage_variable,2,0.02
Consensus only,no_error_detected,71,0.71
Consensus only,objective_mismatch_after_selection,3,0.03
Consensus only,solver_not_optimal,10,0.1
Direct,execution_error,9,0.09
Direct,missing_capacity_constraint,9,0.09
Direct,no_error_detected,61,0.61
Direct,objective_mismatch_after_selection,8,0.08
Direct,solver_not_optimal,13,0.13
ReplenishVerifier-ConsensusSafe,execution_error,3,0.03
ReplenishVerifier-ConsensusSafe,missing_capacity_constraint,4,0.04
ReplenishVerifier-ConsensusSafe,missing_shortage_variable,2,0.02
ReplenishVerifier-ConsensusSafe,no_error_detected,78,0.78
ReplenishVerifier-ConsensusSafe,objective_mismatch_after_selection,3,0.03
ReplenishVerifier-ConsensusSafe,solver_not_optimal,10,0.1
ReplenishVerifier-Full,execution_error,3,0.03
ReplenishVerifier-Full,missing_capacity_constraint,4,0.04
ReplenishVerifier-Full,missing_shortage_variable,2,0.02
ReplenishVerifier-Full,no_error_detected,78,0.78
ReplenishVerifier-Full,objective_mismatch_after_selection,3,0.03
ReplenishVerifier-Full,solver_not_optimal,10,0.1
ReplenishVerifier-FullV2,execution_error,3,0.03
ReplenishVerifier-FullV2,missing_capacity_constraint,4,0.04
ReplenishVerifier-FullV2,missing_shortage_variable,2,0.02
ReplenishVerifier-FullV2,no_error_detected,78,0.78
ReplenishVerifier-FullV2,objective_mismatch_after_selection,3,0.03
ReplenishVerifier-FullV2,solver_not_optimal,10,0.1
ReplenishVerifier-HybridSafe,execution_error,3,0.03
ReplenishVerifier-HybridSafe,missing_capacity_constraint,4,0.04
ReplenishVerifier-HybridSafe,missing_shortage_variable,2,0.02
ReplenishVerifier-HybridSafe,no_error_detected,78,0.78
ReplenishVerifier-HybridSafe,objective_mismatch_after_selection,3,0.03
ReplenishVerifier-HybridSafe,solver_not_optimal,10,0.1
ReplenishVerifier-TypeAware,execution_error,7,0.07
ReplenishVerifier-TypeAware,missing_capacity_constraint,4,0.04
ReplenishVerifier-TypeAware,missing_shortage_variable,2,0.02
ReplenishVerifier-TypeAware,no_error_detected,78,0.78
ReplenishVerifier-TypeAware,objective_mismatch_after_selection,3,0.03
ReplenishVerifier-TypeAware,solver_not_optimal,6,0.06
ReplenishVerifier-TypeAware-Consensus,execution_error,3,0.03
ReplenishVerifier-TypeAware-Consensus,missing_capacity_constraint,4,0.04
ReplenishVerifier-TypeAware-Consensus,missing_shortage_variable,2,0.02
ReplenishVerifier-TypeAware-Consensus,no_error_detected,80,0.8
ReplenishVerifier-TypeAware-Consensus,objective_mismatch_after_selection,1,0.01
ReplenishVerifier-TypeAware-Consensus,solver_not_optimal,10,0.1
Solver only,execution_error,3,0.03
Solver only,missing_capacity_constraint,10,0.1
Solver only,missing_shortage_variable,2,0.02
Solver only,no_error_detected,68,0.68
Solver only,objective_mismatch_after_selection,7,0.07
Solver only,solver_not_optimal,10,0.1
Structure only,execution_error,3,0.03
Structure only,missing_capacity_constraint,4,0.04
Structure only,missing_shortage_variable,2,0.02
Structure only,no_error_detected,77,0.77
Structure only,objective_mismatch_after_selection,4,0.04
Structure only,solver_not_optimal,10,0.1
