method,n,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap
Best-of-K,100,0.78,0.13619577736145197,0.0,0.13619577736145197,0.0
Consensus only,100,0.83,0.12041047764210727,0.0,0.12041047764210727,0.0
Direct,100,0.7,0.1432223652661633,0.0,0.1432223652661633,0.0
ReplenishVerifier-ConsensusSafe,100,0.83,0.12041047764210727,0.0,0.12041047764210727,0.0
ReplenishVerifier-Full,100,0.83,0.11543912375010025,0.0,0.11543912375010025,0.0
ReplenishVerifier-FullV2,100,0.83,0.11543912375010025,0.0,0.11543912375010025,0.0
ReplenishVerifier-HybridSafe,100,0.83,0.12041047764210727,0.0,0.12041047764210727,0.0
ReplenishVerifier-TypeAware,100,0.83,0.02716798195453856,0.0,0.02716798195453856,0.0
ReplenishVerifier-TypeAware-Consensus,100,0.85,0.11373143685970537,0.0,0.11373143685970537,0.0
Solver only,100,0.78,0.13385472372576399,0.0,0.13385472372576399,0.0
Structure only,100,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0
