method_a,method_b,n_common,same_count,same_selection_rate
Best-of-K,Consensus only,100,59,0.59
Best-of-K,Direct,100,19,0.19
Best-of-K,ReplenishVerifier-ConsensusSafe,100,82,0.82
Best-of-K,ReplenishVerifier-Full,100,43,0.43
Best-of-K,ReplenishVerifier-FullV2,100,43,0.43
Best-of-K,ReplenishVerifier-HybridSafe,100,82,0.82
Best-of-K,ReplenishVerifier-TypeAware,100,80,0.8
Best-of-K,ReplenishVerifier-TypeAware-Consensus,100,77,0.77
Best-of-K,Solver only,100,57,0.57
Best-of-K,Structure only,100,43,0.43
Consensus only,Direct,100,11,0.11
Consensus only,ReplenishVerifier-ConsensusSafe,100,68,0.68
Consensus only,ReplenishVerifier-Full,100,17,0.17
Consensus only,ReplenishVerifier-FullV2,100,17,0.17
Consensus only,ReplenishVerifier-HybridSafe,100,68,0.68
Consensus only,ReplenishVerifier-TypeAware,100,65,0.65
Consensus only,ReplenishVerifier-TypeAware-Consensus,100,59,0.59
Consensus only,Solver only,100,96,0.96
Consensus only,Structure only,100,17,0.17
Direct,ReplenishVerifier-ConsensusSafe,100,8,0.08
Direct,ReplenishVerifier-Full,100,47,0.47
Direct,ReplenishVerifier-FullV2,100,47,0.47
Direct,ReplenishVerifier-HybridSafe,100,8,0.08
Direct,ReplenishVerifier-TypeAware,100,8,0.08
Direct,ReplenishVerifier-TypeAware-Consensus,100,8,0.08
Direct,Solver only,100,11,0.11
Direct,Structure only,100,52,0.52
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-Full,100,44,0.44
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-FullV2,100,44,0.44
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-HybridSafe,100,100,1.0
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware,100,97,0.97
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware-Consensus,100,89,0.89
ReplenishVerifier-ConsensusSafe,Solver only,100,65,0.65
ReplenishVerifier-ConsensusSafe,Structure only,100,39,0.39
ReplenishVerifier-Full,ReplenishVerifier-FullV2,100,100,1.0
ReplenishVerifier-Full,ReplenishVerifier-HybridSafe,100,44,0.44
ReplenishVerifier-Full,ReplenishVerifier-TypeAware,100,42,0.42
ReplenishVerifier-Full,ReplenishVerifier-TypeAware-Consensus,100,50,0.5
ReplenishVerifier-Full,Solver only,100,17,0.17
ReplenishVerifier-Full,Structure only,100,92,0.92
ReplenishVerifier-FullV2,ReplenishVerifier-HybridSafe,100,44,0.44
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware,100,42,0.42
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware-Consensus,100,50,0.5
ReplenishVerifier-FullV2,Solver only,100,17,0.17
ReplenishVerifier-FullV2,Structure only,100,92,0.92
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware,100,97,0.97
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware-Consensus,100,89,0.89
ReplenishVerifier-HybridSafe,Solver only,100,65,0.65
ReplenishVerifier-HybridSafe,Structure only,100,39,0.39
ReplenishVerifier-TypeAware,ReplenishVerifier-TypeAware-Consensus,100,86,0.86
ReplenishVerifier-TypeAware,Solver only,100,62,0.62
ReplenishVerifier-TypeAware,Structure only,100,37,0.37
ReplenishVerifier-TypeAware-Consensus,Solver only,100,57,0.57
ReplenishVerifier-TypeAware-Consensus,Structure only,100,45,0.45
Solver only,Structure only,100,17,0.17
