method,n,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage
Best-of-K,100,0.9866666666666666,0.9209621993127148,0.9166666666666667
Consensus only,100,1.0,0.9209621993127148,0.9233333333333333
Direct,100,1.0,0.9037037037037041,0.9133333333333337
ReplenishVerifier-ConsensusSafe,100,1.0,0.9243986254295533,0.9266666666666665
ReplenishVerifier-Full,100,0.9866666666666666,0.9243986254295533,0.92
ReplenishVerifier-FullV2,100,0.9866666666666666,0.9243986254295533,0.92
ReplenishVerifier-HybridSafe,100,1.0,0.9243986254295533,0.9266666666666665
ReplenishVerifier-TypeAware,100,1.0,0.9361702127659575,0.94
ReplenishVerifier-TypeAware-Consensus,100,0.9866666666666666,0.9243986254295533,0.92
Solver only,100,1.0,0.9209621993127148,0.9233333333333333
Structure only,100,0.9866666666666666,0.9106529209621995,0.9066666666666668
