method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,100,0.10236328626400791,0.10093744995538145,0.24
Consensus only,100,0.09957587540848181,0.09936232049949467,0.29
Direct,100,0.10707269012462348,0.10771834047045559,0.24
ReplenishVerifier-ConsensusSafe,100,0.10177593609900214,0.1013204600312747,0.07
ReplenishVerifier-Full,100,0.10862598038627766,0.10784664651146159,0.19
ReplenishVerifier-FullV2,100,0.10862598038627766,0.10784664651146159,0.07
ReplenishVerifier-HybridSafe,100,0.10177593609900214,0.1013204600312747,0.07
ReplenishVerifier-TypeAware,100,0.10094614791683852,0.10093744995538145,0.06
ReplenishVerifier-TypeAware-Consensus,100,0.10250259555876255,0.10164860700024292,0.07
Solver only,100,0.09944188429042697,0.0990518419421278,0.29
Structure only,100,0.10895004399353639,0.1077087220037356,0.19
