problem_id,consensus_safe_candidate_id,best_of_k_candidate_id,consensus_safe_objective_correct_posthoc,best_of_k_objective_correct_posthoc,objective_delta_vs_best_of_k,consensus_safe_consensus,best_of_k_consensus,consensus_safe_lp_health,best_of_k_lp_health,consensus_safe_critical_missing,best_of_k_critical_missing,consensus_safe_constraint_coverage,best_of_k_constraint_coverage,consensus_safe_objective_term_coverage,best_of_k_objective_term_coverage,consensus_safe_structure,best_of_k_structure,diagnostic_note
fixed_order_cost_big_m_0008,Qwen3-8B_k3,Qwen3-8B_k5,0.0,1.0,-1.0,0.5,,1.0,,0.0,,1.0,,1.0,,0.835,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
multi_item_capacity_0003,Qwen3-8B_k5,Qwen3-8B_k0,0.0,0.0,0.0,0.0,,1.0,,0.0,,1.0,,1.0,,0.875,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
multi_item_capacity_0007,Qwen3-8B_k3,Qwen3-8B_k2,0.0,0.0,0.0,0.0,,1.0,,0.0,,1.0,,1.0,,0.8125,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
multi_item_capacity_0010,Qwen3-8B_k7,Qwen3-8B_k1,1.0,0.0,1.0,0.8333333333333334,,1.0,,0.0,,1.0,,1.0,,0.8125,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
multi_item_capacity_0013,Qwen3-8B_k5,Qwen3-8B_k0,0.0,0.0,0.0,0.0,,1.0,,0.0,,1.0,,1.0,,0.8125,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
multi_item_capacity_0016,Qwen3-8B_k2,Qwen3-8B_k0,0.0,0.0,0.0,0.0,,1.0,,1.0,,0.875,,1.0,,0.71875,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
multi_item_capacity_0018,Qwen3-8B_k5,Qwen3-8B_k0,0.0,0.0,0.0,0.0,,1.0,,1.0,,0.875,,1.0,,0.71875,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
multi_item_capacity_0019,Qwen3-8B_k3,Qwen3-8B_k0,0.0,0.0,0.0,0.0,,1.0,,0.0,,1.0,,1.0,,0.8125,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
single_item_multi_period_0013,Qwen3-8B_k0,Qwen3-8B_k4,1.0,0.0,1.0,0.875,,1.0,,0.0,,1.0,,1.0,,0.8571428571428571,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
single_item_multi_period_shortage_0011,Qwen3-8B_k1,Qwen3-8B_k6,1.0,0.0,1.0,0.8571428571428571,,1.0,,0.0,,1.0,,1.0,,0.8611111111111112,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
single_item_multi_period_shortage_0013,Qwen3-8B_k3,Qwen3-8B_k0,1.0,0.0,1.0,0.875,,1.0,,0.0,,1.0,,1.0,,0.8611111111111112,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
single_item_multi_period_shortage_0019,Qwen3-8B_k1,Qwen3-8B_k5,1.0,0.0,1.0,0.5,,1.0,,0.0,,1.0,,1.0,,0.8611111111111112,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
single_period_newsvendor_0003,Qwen3-8B_k6,Qwen3-8B_k0,0.0,0.0,0.0,0.0,,1.0,,0.0,,0.6666666666666666,,0.3333333333333333,,0.5555555555555556,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
single_period_newsvendor_0008,Qwen3-8B_k2,Qwen3-8B_k4,1.0,1.0,0.0,1.0,,1.0,,0.0,,1.0,,0.6666666666666666,,0.8611111111111112,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
single_period_newsvendor_0012,Qwen3-8B_k3,Qwen3-8B_k0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
single_period_newsvendor_0013,Qwen3-8B_k5,Qwen3-8B_k0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
single_period_newsvendor_0015,Qwen3-8B_k3,Qwen3-8B_k0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
single_period_newsvendor_0016,Qwen3-8B_k3,Qwen3-8B_k7,0.0,1.0,-1.0,0.625,,1.0,,0.0,,1.0,,0.6666666666666666,,0.8333333333333334,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
single_period_newsvendor_0018,Qwen3-8B_k6,Qwen3-8B_k7,1.0,1.0,0.0,0.75,,1.0,,0.0,,1.0,,0.6666666666666666,,0.8333333333333334,,post-hoc diagnostics only; non-reference signal columns explain the selected candidate difference
