method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,100,0.10378406454226934,0.10323109349701554,0.26
Consensus only,100,0.10131179983029143,0.1016090500052087,0.32
Direct,100,0.10505465658614412,0.10721609852043912,0.21
ReplenishVerifier-ConsensusSafe,100,0.10352442296687514,0.10409268853254616,0.08
ReplenishVerifier-Full,100,0.10728065829141997,0.10795338894240558,0.22
ReplenishVerifier-FullV2,100,0.10728065829141997,0.10795338894240558,0.08
ReplenishVerifier-HybridSafe,100,0.10352442296687514,0.10409268853254616,0.08
ReplenishVerifier-TypeAware,100,0.1021149460261222,0.10389498702716082,0.06
ReplenishVerifier-TypeAware-Consensus,100,0.10420069123967551,0.10437650646781549,0.08
Solver only,100,0.10117242488195188,0.10151429648976773,0.32
Structure only,100,0.10730774380150251,0.10795338894240558,0.22
