diagnostic_type,method_a,method_b,methods,n_common,same_selection_rate,count,detail
high_same_selection_pair,ReplenishVerifier-ConsensusSafe,ReplenishVerifier-HybridSafe,ReplenishVerifier-ConsensusSafe; ReplenishVerifier-HybridSafe,100,1.0,100,Methods select the same candidate on nearly all shared problems.
high_same_selection_pair,ReplenishVerifier-Full,ReplenishVerifier-FullV2,ReplenishVerifier-Full; ReplenishVerifier-FullV2,100,1.0,100,Methods select the same candidate on nearly all shared problems.
metric_duplicate_group,,,ReplenishVerifier-ConsensusSafe; ReplenishVerifier-HybridSafe,,,2,Methods have identical headline metric values.
metric_duplicate_group,,,ReplenishVerifier-Full; ReplenishVerifier-FullV2,,,2,Methods have identical headline metric values.
candidate_rank_distribution,Best-of-K,,Best-of-K,100,,100,"k0=15, k1=23, k2=3, k3=21, k4=11, k5=8, k6=12, k7=7"
candidate_rank_distribution,Consensus only,,Consensus only,100,,100,"k0=11, k1=18, k2=8, k3=14, k4=11, k5=9, k6=15, k7=14"
candidate_rank_distribution,Direct,,Direct,100,,100,k0=100
candidate_rank_distribution,ReplenishVerifier-ConsensusSafe,,ReplenishVerifier-ConsensusSafe,100,,100,"k0=6, k1=24, k2=4, k3=28, k4=9, k5=10, k6=13, k7=6"
candidate_rank_distribution,ReplenishVerifier-Full,,ReplenishVerifier-Full,100,,100,"k0=48, k1=20, k2=2, k3=19, k4=3, k5=1, k6=5, k7=2"
candidate_rank_distribution,ReplenishVerifier-FullV2,,ReplenishVerifier-FullV2,100,,100,"k0=48, k1=20, k2=2, k3=19, k4=3, k5=1, k6=5, k7=2"
candidate_rank_distribution,ReplenishVerifier-HybridSafe,,ReplenishVerifier-HybridSafe,100,,100,"k0=6, k1=24, k2=4, k3=28, k4=9, k5=10, k6=13, k7=6"
candidate_rank_distribution,ReplenishVerifier-TypeAware,,ReplenishVerifier-TypeAware,100,,100,"k0=5, k1=25, k2=4, k3=27, k4=9, k5=10, k6=13, k7=7"
candidate_rank_distribution,ReplenishVerifier-TypeAware-Consensus,,ReplenishVerifier-TypeAware-Consensus,100,,100,"k0=7, k1=29, k2=5, k3=24, k4=8, k5=8, k6=11, k7=8"
candidate_rank_distribution,Solver only,,Solver only,100,,100,"k0=10, k1=18, k2=7, k3=13, k4=12, k5=10, k6=15, k7=15"
candidate_rank_distribution,Structure only,,Structure only,100,,100,"k0=54, k1=17, k2=2, k3=16, k4=3, k5=1, k6=5, k7=2"
