problem_id,problem_type,same_candidate,full_candidate_id,typeaware_consensus_candidate_id,full_objective_correct_posthoc,typeaware_consensus_objective_correct_posthoc,full_safe_consensus_score,typeaware_consensus_safe_consensus_score,full_wrong_consensus_risk,typeaware_consensus_wrong_consensus_risk,full_constraint_coverage,typeaware_consensus_constraint_coverage,full_objective_term_coverage,typeaware_consensus_objective_term_coverage,diagnostic_note
fixed_order_cost_big_m_0008,fixed_order_cost_big_m,False,Qwen3-8B_k3,Qwen3-8B_k1,0.0,1.0,0.7025,0.28099999999999997,0.011785714285714288,0.004714285714285726,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0002,multi_item_capacity,False,Qwen3-8B_k0,Qwen3-8B_k5,1.0,1.0,0.31232142857142864,0.31232142857142864,0.5448214285714285,0.5448214285714285,0.875,0.875,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0004,multi_item_capacity,False,Qwen3-8B_k1,Qwen3-8B_k4,1.0,1.0,0.9875,0.9875,0.012499999999999956,0.012499999999999956,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0009,multi_item_capacity,False,Qwen3-8B_k3,Qwen3-8B_k4,1.0,1.0,0.9812500000000002,0.9812500000000002,0.018749999999999822,0.018749999999999822,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0011,multi_item_capacity,False,Qwen3-8B_k0,Qwen3-8B_k5,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0012,multi_item_capacity,False,Qwen3-8B_k2,Qwen3-8B_k7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0014,multi_item_capacity,False,Qwen3-8B_k0,Qwen3-8B_k3,1.0,1.0,0.3643750000000001,0.3643750000000001,0.6356249999999999,0.6356249999999999,0.875,0.875,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0018,multi_item_capacity,False,Qwen3-8B_k0,Qwen3-8B_k2,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0019,multi_item_capacity,False,Qwen3-8B_k0,Qwen3-8B_k1,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0000,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k3,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
