method,n,objective_accuracy_count,objective_accuracy_total,structure_complete_count,structure_complete_total,code_validity_rate,executable_rate,optimal_rate,solver_status_optimal_rate,solver_status_infeasible_rate,solver_status_timeout_rate,solver_status_error_rate,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap,structure_completeness,inventory_balance_accuracy,constraint_coverage,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage,average_runtime_sec,median_runtime_sec,average_repair_feedback_count,objective_accuracy_ci_low,objective_accuracy_ci_high,structure_completeness_ci_low,structure_completeness_ci_high,constraint_coverage_ci_low,constraint_coverage_ci_high
Best-of-K,100,79,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.79,0.16346381748475006,0.0,0.16346381748475006,0.0,0.8041702380952386,1.0,0.9416666666666665,0.98,0.9243986254295533,0.9166666666666667,0.10335744982119649,0.10498973849462345,0.24,0.7,0.86,0.766787301587302,0.8311672619047624,0.8979166666666668,0.9729166666666668
Consensus only,100,80,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.8,0.16103655740803302,0.0,0.16103655740803302,0.0,0.7919910714285711,1.0,0.9343055555555556,0.9933333333333333,0.9243986254295533,0.9233333333333335,0.10071049242164008,0.10286248096963391,0.3,0.72,0.88,0.7569803571428573,0.8192799603174606,0.89375,0.965138888888889
Direct,100,67,100,0,100,1.0,0.9,0.77,0.77,0.12,0.0,0.1,0.67,0.14746602743650278,0.0,0.14746602743650278,0.0,0.7374920634920632,1.0,0.8708333333333332,1.0,0.9037037037037041,0.9133333333333337,0.1062320330843795,0.10806067497469485,0.24,0.57,0.76,0.6788321428571432,0.7837646825396826,0.8020833333333333,0.9245833333333334
ReplenishVerifier-ConsensusSafe,100,80,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.8,0.16103655740803302,0.0,0.16103655740803302,0.0,0.8081355158730164,1.0,0.9479166666666665,1.0,0.9243986254295533,0.9266666666666665,0.10295349586056546,0.10498973849462345,0.07,0.72,0.88,0.7697144841269842,0.8347494047619054,0.9025,0.9791666666666665
ReplenishVerifier-Full,100,81,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.81,0.152981575186416,0.0,0.152981575186416,0.0,0.8088577380952385,1.0,0.9479166666666665,0.9866666666666666,0.9243986254295533,0.92,0.10845292504294775,0.10908897849731147,0.19,0.73,0.89,0.7699922619047619,0.8358450396825404,0.9025,0.9791666666666665
ReplenishVerifier-FullV2,100,81,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.81,0.152981575186416,0.0,0.152981575186416,0.0,0.8088577380952385,1.0,0.9479166666666665,0.9866666666666666,0.9243986254295533,0.92,0.10845292504294775,0.10908897849731147,0.07,0.73,0.89,0.7699922619047619,0.8358450396825404,0.9025,0.9791666666666665
ReplenishVerifier-HybridSafe,100,80,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.8,0.16103655740803302,0.0,0.16103655740803302,0.0,0.8081355158730164,1.0,0.9479166666666665,1.0,0.9243986254295533,0.9266666666666665,0.10295349586056546,0.10498973849462345,0.07,0.72,0.88,0.7697144841269842,0.8347494047619054,0.9025,0.9791666666666665
ReplenishVerifier-TypeAware,100,80,100,0,100,1.0,0.94,0.87,0.87,0.07,0.0,0.06,0.8,0.06909311975255193,0.0,0.06909311975255193,0.0,0.7898369047619052,1.0,0.9258333333333333,1.0,0.9361702127659575,0.94,0.1019791330222506,0.10493542143376544,0.06,0.72,0.88,0.7433908730158738,0.8259819444444453,0.87125,0.9679166666666665
ReplenishVerifier-TypeAware-Consensus,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.15435751662563113,0.0,0.15435751662563113,0.0,0.8086910714285719,1.0,0.9479166666666665,0.9866666666666666,0.9243986254295533,0.92,0.10333009669091553,0.10498973849462345,0.07,0.74,0.89,0.7699922619047619,0.8355462301587308,0.9025,0.9791666666666665
Solver only,100,74,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.74,0.18263365437611542,0.0,0.18263365437611542,0.0,0.7922815476190472,1.0,0.9354166666666666,0.9933333333333333,0.9243986254295533,0.9233333333333335,0.10026065176236443,0.1017478455323726,0.29,0.65,0.82,0.7575021825396824,0.8192984126984132,0.8945833333333337,0.9666666666666666
Structure only,100,81,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.81,0.16472504985684194,0.0,0.16472504985684194,0.0,0.8088577380952385,1.0,0.9479166666666665,0.9866666666666666,0.9106529209621995,0.9066666666666668,0.10831638662260958,0.10869494255166501,0.19,0.73,0.88,0.7699922619047619,0.8358450396825404,0.9025,0.9791666666666665
