method,n,objective_accuracy_count,objective_accuracy_total,structure_complete_count,structure_complete_total,code_validity_rate,executable_rate,optimal_rate,solver_status_optimal_rate,solver_status_infeasible_rate,solver_status_timeout_rate,solver_status_error_rate,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap,structure_completeness,inventory_balance_accuracy,constraint_coverage,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage,average_runtime_sec,median_runtime_sec,average_repair_feedback_count,objective_accuracy_ci_low,objective_accuracy_ci_high,structure_completeness_ci_low,structure_completeness_ci_high,constraint_coverage_ci_low,constraint_coverage_ci_high
Best-of-K,100,76,100,0,100,1.0,0.91,0.85,0.85,0.06,0.0,0.09,0.76,0.09793749807425998,0.0,0.09793749807425998,0.0,0.7552257936507933,1.0,0.8875,0.98,0.9523809523809523,0.9466666666666665,0.10534032450756058,0.10735854299855419,0.18,0.67,0.84,0.7055505952380955,0.7990847222222226,0.82875,0.93875
Consensus only,100,72,100,0,100,1.0,0.91,0.85,0.85,0.06,0.0,0.09,0.72,0.1180026845344572,0.0,0.1180026845344572,0.0,0.7507777777777771,1.0,0.8875,0.98,0.9523809523809523,0.9466666666666665,0.10321830591652542,0.10591208000550978,0.18,0.63,0.8,0.7012077380952383,0.7940329365079368,0.82875,0.93875
Direct,100,69,100,0,100,1.0,0.89,0.81,0.81,0.08,0.0,0.11,0.69,0.10560406630396485,0.0,0.10560406630396485,0.0,0.7353994047619041,1.0,0.86875,0.98,0.9513108614232209,0.9466666666666665,0.11023205878969748,0.11110881849890575,0.17,0.6,0.78,0.6808240079365078,0.7839698412698414,0.8025,0.92625
ReplenishVerifier-ConsensusSafe,100,72,100,0,100,1.0,0.91,0.85,0.85,0.06,0.0,0.09,0.72,0.1180026845344572,0.0,0.1180026845344572,0.0,0.7547972222222219,1.0,0.8875,0.98,0.9523809523809523,0.9466666666666665,0.104100436787121,0.10687042050994933,0.18,0.63,0.8,0.7049077380952383,0.7982275793650797,0.82875,0.93875
ReplenishVerifier-Full,100,74,100,0,100,1.0,0.91,0.85,0.85,0.06,0.0,0.09,0.74,0.11291288810053687,0.0,0.11291288810053687,0.0,0.7552257936507933,1.0,0.8875,0.98,0.9523809523809523,0.9466666666666665,0.11176597978861537,0.11192747150198556,0.18,0.65,0.83,0.7055505952380955,0.7990847222222226,0.82875,0.93875
ReplenishVerifier-HybridSafe,100,72,100,0,100,1.0,0.91,0.85,0.85,0.06,0.0,0.09,0.72,0.1180026845344572,0.0,0.1180026845344572,0.0,0.7547972222222219,1.0,0.8875,0.98,0.9523809523809523,0.9466666666666665,0.104100436787121,0.10687042050994933,0.18,0.63,0.8,0.7049077380952383,0.7982275793650797,0.82875,0.93875
ReplenishVerifier-TypeAware,100,72,100,0,100,1.0,0.89,0.85,0.85,0.04,0.0,0.11,0.72,0.11902872801475164,0.0,0.11902872801475164,0.0,0.740297222222222,1.0,0.87,0.98,0.9513108614232209,0.9466666666666665,0.10332591666665394,0.1061307304771617,0.16,0.63,0.8,0.687362103174603,0.7891926587301592,0.8075,0.92625
ReplenishVerifier-TypeAware-Consensus,100,72,100,0,100,1.0,0.91,0.85,0.85,0.06,0.0,0.09,0.72,0.1180026845344572,0.0,0.1180026845344572,0.0,0.7547972222222219,1.0,0.8875,0.98,0.9523809523809523,0.9466666666666665,0.104100436787121,0.10687042050994933,0.18,0.63,0.8,0.7049077380952383,0.7982275793650797,0.82875,0.93875
Solver only,100,71,100,0,100,1.0,0.91,0.85,0.85,0.06,0.0,0.09,0.71,0.1091272807774531,0.0,0.1091272807774531,0.0,0.7496190476190471,1.0,0.8863888888888889,0.98,0.9523809523809523,0.9466666666666665,0.1031413847062504,0.10591208000550978,0.19,0.62,0.79,0.6998660714285718,0.792438888888889,0.8268055555555555,0.9376388888888889
Structure only,100,74,100,0,100,1.0,0.91,0.85,0.85,0.06,0.0,0.09,0.74,0.11291288810053687,0.0,0.11291288810053687,0.0,0.7552257936507933,1.0,0.8875,0.98,0.9523809523809523,0.9466666666666665,0.11183014262875077,0.11192747150198556,0.18,0.65,0.83,0.7055505952380955,0.7990847222222226,0.82875,0.93875
