method,n,structure_completeness,inventory_balance_accuracy,constraint_coverage
Best-of-K,100,0.7552257936507933,1.0,0.8875
Consensus only,100,0.7507777777777771,1.0,0.8875
Direct,100,0.7353994047619041,1.0,0.86875
ReplenishVerifier-ConsensusSafe,100,0.7547972222222219,1.0,0.8875
ReplenishVerifier-Full,100,0.7552257936507933,1.0,0.8875
ReplenishVerifier-HybridSafe,100,0.7547972222222219,1.0,0.8875
ReplenishVerifier-TypeAware,100,0.740297222222222,1.0,0.87
ReplenishVerifier-TypeAware-Consensus,100,0.7547972222222219,1.0,0.8875
Solver only,100,0.7496190476190471,1.0,0.8863888888888889
Structure only,100,0.7552257936507933,1.0,0.8875
