method,error_type,reported,recomputed,delta,status
Best-of-K,execution_error,,3,,MISSING
Best-of-K,missing_capacity_constraint,,4,,MISSING
Best-of-K,missing_shortage_variable,,2,,MISSING
Best-of-K,no_error_detected,,74,,MISSING
Best-of-K,objective_mismatch_after_selection,,7,,MISSING
Best-of-K,solver_not_optimal,,10,,MISSING
Consensus only,execution_error,,3,,MISSING
Consensus only,missing_capacity_constraint,,10,,MISSING
Consensus only,missing_shortage_variable,,2,,MISSING
Consensus only,no_error_detected,,71,,MISSING
Consensus only,objective_mismatch_after_selection,,4,,MISSING
Consensus only,solver_not_optimal,,10,,MISSING
Direct,execution_error,,9,,MISSING
Direct,missing_capacity_constraint,,9,,MISSING
Direct,no_error_detected,,61,,MISSING
Direct,objective_mismatch_after_selection,,8,,MISSING
Direct,solver_not_optimal,,13,,MISSING
ReplenishVerifier-ConsensusSafe,execution_error,,3,,MISSING
ReplenishVerifier-ConsensusSafe,missing_capacity_constraint,,4,,MISSING
ReplenishVerifier-ConsensusSafe,missing_shortage_variable,,2,,MISSING
ReplenishVerifier-ConsensusSafe,no_error_detected,,78,,MISSING
ReplenishVerifier-ConsensusSafe,objective_mismatch_after_selection,,3,,MISSING
ReplenishVerifier-ConsensusSafe,solver_not_optimal,,10,,MISSING
ReplenishVerifier-Full,execution_error,,3,,MISSING
ReplenishVerifier-Full,missing_capacity_constraint,,4,,MISSING
ReplenishVerifier-Full,missing_shortage_variable,,2,,MISSING
ReplenishVerifier-Full,no_error_detected,,77,,MISSING
ReplenishVerifier-Full,objective_mismatch_after_selection,,4,,MISSING
ReplenishVerifier-Full,solver_not_optimal,,10,,MISSING
ReplenishVerifier-FullV2,execution_error,,3,,MISSING
ReplenishVerifier-FullV2,missing_capacity_constraint,,4,,MISSING
ReplenishVerifier-FullV2,missing_shortage_variable,,2,,MISSING
ReplenishVerifier-FullV2,no_error_detected,,77,,MISSING
ReplenishVerifier-FullV2,objective_mismatch_after_selection,,4,,MISSING
ReplenishVerifier-FullV2,solver_not_optimal,,10,,MISSING
ReplenishVerifier-HybridSafe,execution_error,,3,,MISSING
ReplenishVerifier-HybridSafe,missing_capacity_constraint,,4,,MISSING
ReplenishVerifier-HybridSafe,missing_shortage_variable,,2,,MISSING
ReplenishVerifier-HybridSafe,no_error_detected,,78,,MISSING
ReplenishVerifier-HybridSafe,objective_mismatch_after_selection,,3,,MISSING
ReplenishVerifier-HybridSafe,solver_not_optimal,,10,,MISSING
ReplenishVerifier-TypeAware,execution_error,,7,,MISSING
ReplenishVerifier-TypeAware,missing_capacity_constraint,,4,,MISSING
ReplenishVerifier-TypeAware,missing_shortage_variable,,2,,MISSING
ReplenishVerifier-TypeAware,no_error_detected,,78,,MISSING
ReplenishVerifier-TypeAware,objective_mismatch_after_selection,,3,,MISSING
ReplenishVerifier-TypeAware,solver_not_optimal,,6,,MISSING
ReplenishVerifier-TypeAware-Consensus,execution_error,,3,,MISSING
ReplenishVerifier-TypeAware-Consensus,missing_capacity_constraint,,4,,MISSING
ReplenishVerifier-TypeAware-Consensus,missing_shortage_variable,,2,,MISSING
ReplenishVerifier-TypeAware-Consensus,no_error_detected,,78,,MISSING
ReplenishVerifier-TypeAware-Consensus,objective_mismatch_after_selection,,3,,MISSING
ReplenishVerifier-TypeAware-Consensus,solver_not_optimal,,10,,MISSING
Solver only,execution_error,,3,,MISSING
Solver only,missing_capacity_constraint,,10,,MISSING
Solver only,missing_shortage_variable,,2,,MISSING
Solver only,no_error_detected,,67,,MISSING
Solver only,objective_mismatch_after_selection,,8,,MISSING
Solver only,solver_not_optimal,,10,,MISSING
Structure only,execution_error,,3,,MISSING
Structure only,missing_capacity_constraint,,4,,MISSING
Structure only,missing_shortage_variable,,2,,MISSING
Structure only,no_error_detected,,77,,MISSING
Structure only,objective_mismatch_after_selection,,4,,MISSING
Structure only,solver_not_optimal,,10,,MISSING
