method,metric,reported,recomputed,delta,status
Best-of-K,executable_rate,0.97,0.97,0.0,OK
Best-of-K,optimal_rate,0.87,0.87,0.0,OK
Best-of-K,objective_accuracy,0.79,0.79,0.0,OK
Best-of-K,structure_completeness,0.8032,0.803203571428572,3.5714285719912198e-06,OK
Best-of-K,inventory_balance_accuracy,1.0,1.0,0.0,OK
Best-of-K,constraint_coverage,0.9394,0.9394444444444444,4.444444444440254e-05,OK
Best-of-K,average_runtime_sec,0.1009,0.10094159828033299,4.159828033298285e-05,OK
Best-of-K,average_repair_feedback_count,0.26,0.26,0.0,OK
Consensus only,executable_rate,0.97,0.97,0.0,OK
Consensus only,optimal_rate,0.87,0.87,0.0,OK
Consensus only,objective_accuracy,0.82,0.82,0.0,OK
Consensus only,structure_completeness,0.7904,0.7904003968253965,3.968253965425106e-07,OK
Consensus only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Consensus only,constraint_coverage,0.9319,0.9319444444444445,4.4444444444513564e-05,OK
Consensus only,average_runtime_sec,0.0981,0.09806360026123002,-3.639973876998215e-05,OK
Consensus only,average_repair_feedback_count,0.32,0.32,0.0,OK
Direct,executable_rate,0.91,0.91,0.0,OK
Direct,optimal_rate,0.78,0.78,0.0,OK
Direct,objective_accuracy,0.7,0.7,0.0,OK
Direct,structure_completeness,0.7489,0.7489063492063489,6.349206348899017e-06,OK
Direct,inventory_balance_accuracy,1.0,1.0,0.0,OK
Direct,constraint_coverage,0.8842,0.8841666666666665,-3.3333333333440684e-05,OK
Direct,average_runtime_sec,0.1023,0.102299042812665,-9.571873350044946e-07,OK
Direct,average_repair_feedback_count,0.21,0.21,0.0,OK
ReplenishVerifier-ConsensusSafe,executable_rate,0.97,0.97,0.0,OK
ReplenishVerifier-ConsensusSafe,optimal_rate,0.87,0.87,0.0,OK
ReplenishVerifier-ConsensusSafe,objective_accuracy,0.83,0.83,0.0,OK
ReplenishVerifier-ConsensusSafe,structure_completeness,0.8067,0.8067105158730163,1.0515873016370136e-05,OK
ReplenishVerifier-ConsensusSafe,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-ConsensusSafe,constraint_coverage,0.9444,0.9444444444444444,4.444444444440254e-05,OK
ReplenishVerifier-ConsensusSafe,average_runtime_sec,0.1009,0.1008856815751642,-1.43184248358047e-05,OK
ReplenishVerifier-ConsensusSafe,average_repair_feedback_count,0.22,0.08,-0.14,MISMATCH
ReplenishVerifier-Full,executable_rate,0.97,0.97,0.0,OK
ReplenishVerifier-Full,optimal_rate,0.87,0.87,0.0,OK
ReplenishVerifier-Full,objective_accuracy,0.82,0.82,0.0,OK
ReplenishVerifier-Full,structure_completeness,0.8076,0.807578571428572,-2.1428571427950516e-05,OK
ReplenishVerifier-Full,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-Full,constraint_coverage,0.9444,0.9444444444444444,4.444444444440254e-05,OK
ReplenishVerifier-Full,average_runtime_sec,0.1051,0.10508136263815686,-1.8637361843140687e-05,OK
ReplenishVerifier-Full,average_repair_feedback_count,0.22,0.22,0.0,OK
ReplenishVerifier-FullV2,executable_rate,0.97,0.97,0.0,OK
ReplenishVerifier-FullV2,optimal_rate,0.87,0.87,0.0,OK
ReplenishVerifier-FullV2,objective_accuracy,0.82,0.82,0.0,OK
ReplenishVerifier-FullV2,structure_completeness,0.8076,0.807578571428572,-2.1428571427950516e-05,OK
ReplenishVerifier-FullV2,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-FullV2,constraint_coverage,0.9444,0.9444444444444444,4.444444444440254e-05,OK
ReplenishVerifier-FullV2,average_runtime_sec,0.1051,0.10508136263815686,-1.8637361843140687e-05,OK
ReplenishVerifier-FullV2,average_repair_feedback_count,0.22,0.08,-0.14,MISMATCH
ReplenishVerifier-HybridSafe,executable_rate,0.97,0.97,0.0,OK
ReplenishVerifier-HybridSafe,optimal_rate,0.87,0.87,0.0,OK
ReplenishVerifier-HybridSafe,objective_accuracy,0.83,0.83,0.0,OK
ReplenishVerifier-HybridSafe,structure_completeness,0.8067,0.8067105158730163,1.0515873016370136e-05,OK
ReplenishVerifier-HybridSafe,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-HybridSafe,constraint_coverage,0.9444,0.9444444444444444,4.444444444440254e-05,OK
ReplenishVerifier-HybridSafe,average_runtime_sec,0.1009,0.1008856815751642,-1.43184248358047e-05,OK
ReplenishVerifier-HybridSafe,average_repair_feedback_count,0.22,0.08,-0.14,MISMATCH
ReplenishVerifier-TypeAware,executable_rate,0.93,0.93,0.0,OK
ReplenishVerifier-TypeAware,optimal_rate,0.87,0.87,0.0,OK
