method,n,objective_accuracy_count,objective_accuracy_total,structure_complete_count,structure_complete_total,code_validity_rate,executable_rate,optimal_rate,solver_status_optimal_rate,solver_status_infeasible_rate,solver_status_timeout_rate,solver_status_error_rate,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap,structure_completeness,inventory_balance_accuracy,constraint_coverage,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage,average_runtime_sec,median_runtime_sec,average_repair_feedback_count,objective_accuracy_ci_low,objective_accuracy_ci_high,structure_completeness_ci_low,structure_completeness_ci_high,constraint_coverage_ci_low,constraint_coverage_ci_high
Best-of-K,100,79,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.79,0.13672429613082127,0.0,0.13672429613082127,0.0,0.803203571428572,1.0,0.9394444444444444,0.9766666666666666,0.9106529209621994,0.8966666666666668,0.10094159828033299,0.10000160700292327,0.26,0.71,0.87,0.764665674603175,0.830512301587302,0.8936111111111111,0.9716666666666666
Consensus only,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.12086552290781873,0.0,0.12086552290781873,0.0,0.7904003968253965,1.0,0.9319444444444445,0.9933333333333333,0.9140893470790379,0.9133333333333334,0.09806360026123002,0.09853669352014549,0.32,0.74,0.89,0.7541736111111118,0.8186329365079371,0.88875,0.96375
Direct,100,70,100,0,100,1.0,0.91,0.78,0.78,0.12,0.0,0.09,0.7,0.1432223652661633,0.0,0.1432223652661633,0.0,0.7489063492063489,1.0,0.8841666666666665,1.0,0.9194139194139199,0.926666666666667,0.102299042812665,0.10413932148367167,0.21,0.62,0.79,0.6980817460317461,0.7914765873015877,0.8245833333333333,0.9341666666666667
ReplenishVerifier-ConsensusSafe,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12019787827543556,0.0,0.12019787827543556,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.1008856815751642,0.10000160700292327,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
ReplenishVerifier-Full,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.10508136263815686,0.10552951347199269,0.22,0.74,0.89,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
ReplenishVerifier-FullV2,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.10508136263815686,0.10552951347199269,0.08,0.74,0.89,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
ReplenishVerifier-HybridSafe,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12019787827543556,0.0,0.12019787827543556,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.1008856815751642,0.10000160700292327,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
ReplenishVerifier-TypeAware,100,83,100,0,100,1.0,0.93,0.87,0.87,0.06,0.0,0.07,0.83,0.02521487350406109,0.0,0.02521487350406109,0.0,0.7805994047619054,1.0,0.9136111111111112,1.0,0.9318996415770608,0.9366666666666665,0.09952404345560353,0.09973695399821736,0.06,0.75,0.9,0.7345488095238102,0.8199849206349209,0.8608333333333335,0.9602777777777777
ReplenishVerifier-TypeAware-Consensus,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12019787827543556,0.0,0.12019787827543556,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.1008856815751642,0.10000160700292327,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
Solver only,100,78,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.78,0.1461869405077073,0.0,0.1461869405077073,0.0,0.7898051587301583,1.0,0.9319444444444445,0.9833333333333333,0.9140893470790379,0.9033333333333334,0.09791823292151093,0.09853669352014549,0.32,0.7,0.86,0.7535829365079367,0.8177565476190479,0.88875,0.96375
Structure only,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9072164948453612,0.9033333333333335,0.1051750386581989,0.10587692647823133,0.22,0.74,0.89,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
