method,problem_type,n,executable_rate,optimal_rate,objective_accuracy,structure_completeness,constraint_coverage,objective_term_coverage
Best-of-K,fixed_order_cost_big_m,20,1.0,1.0,0.95,0.8707499999999999,1.0,0.9666666666666666
Best-of-K,multi_item_capacity,20,1.0,0.6,0.55,0.7631249999999999,0.925,1.0
Best-of-K,single_item_multi_period,20,1.0,1.0,0.95,0.8571428571428573,1.0,0.95
Best-of-K,single_item_multi_period_shortage,20,1.0,1.0,0.8,0.8602777777777776,1.0,1.0
Best-of-K,single_period_newsvendor,20,0.85,0.75,0.7,0.664722222222222,0.7722222222222223,0.5666666666666668
Consensus only,fixed_order_cost_big_m,20,1.0,1.0,0.95,0.8522500000000001,1.0,0.9833333333333332
Consensus only,multi_item_capacity,20,1.0,0.6,0.6,0.728125,0.8875,1.0
Consensus only,single_item_multi_period,20,1.0,1.0,1.0,0.8560714285714287,1.0,1.0
Consensus only,single_item_multi_period_shortage,20,1.0,1.0,0.9,0.8536111111111111,1.0,1.0
Consensus only,single_period_newsvendor,20,0.85,0.75,0.65,0.6619444444444443,0.7722222222222223,0.5833333333333334
Direct,fixed_order_cost_big_m,20,0.95,0.95,0.95,0.806,0.95,0.8666666666666665
Direct,multi_item_capacity,20,0.95,0.45,0.45,0.6875,0.8375,1.0
Direct,single_item_multi_period,20,1.0,1.0,1.0,0.8571428571428573,1.0,1.0
Direct,single_item_multi_period_shortage,20,1.0,0.9,0.55,0.8536111111111111,1.0,1.0
Direct,single_period_newsvendor,20,0.65,0.6,0.55,0.5402777777777777,0.6333333333333333,0.7666666666666665
ReplenishVerifier-ConsensusSafe,fixed_order_cost_big_m,20,1.0,1.0,0.95,0.8707499999999999,1.0,1.0
ReplenishVerifier-ConsensusSafe,multi_item_capacity,20,1.0,0.6,0.6,0.7834375,0.95,1.0
ReplenishVerifier-ConsensusSafe,single_item_multi_period,20,1.0,1.0,1.0,0.8571428571428573,1.0,1.0
ReplenishVerifier-ConsensusSafe,single_item_multi_period_shortage,20,1.0,1.0,0.95,0.8602777777777776,1.0,1.0
ReplenishVerifier-ConsensusSafe,single_period_newsvendor,20,0.85,0.75,0.65,0.6619444444444443,0.7722222222222223,0.6166666666666666
ReplenishVerifier-Full,fixed_order_cost_big_m,20,1.0,1.0,1.0,0.8707499999999999,1.0,1.0
ReplenishVerifier-Full,multi_item_capacity,20,1.0,0.6,0.55,0.7849999999999999,0.95,1.0
ReplenishVerifier-Full,single_item_multi_period,20,1.0,1.0,1.0,0.8571428571428573,1.0,1.0
ReplenishVerifier-Full,single_item_multi_period_shortage,20,1.0,1.0,0.85,0.8602777777777776,1.0,1.0
ReplenishVerifier-Full,single_period_newsvendor,20,0.85,0.75,0.7,0.664722222222222,0.7722222222222223,0.5833333333333334
ReplenishVerifier-FullV2,fixed_order_cost_big_m,20,1.0,1.0,1.0,0.8707499999999999,1.0,1.0
ReplenishVerifier-FullV2,multi_item_capacity,20,1.0,0.6,0.55,0.7849999999999999,0.95,1.0
ReplenishVerifier-FullV2,single_item_multi_period,20,1.0,1.0,1.0,0.8571428571428573,1.0,1.0
ReplenishVerifier-FullV2,single_item_multi_period_shortage,20,1.0,1.0,0.85,0.8602777777777776,1.0,1.0
ReplenishVerifier-FullV2,single_period_newsvendor,20,0.85,0.75,0.7,0.664722222222222,0.7722222222222223,0.5833333333333334
ReplenishVerifier-HybridSafe,fixed_order_cost_big_m,20,1.0,1.0,0.95,0.8707499999999999,1.0,1.0
ReplenishVerifier-HybridSafe,multi_item_capacity,20,1.0,0.6,0.6,0.7834375,0.95,1.0
ReplenishVerifier-HybridSafe,single_item_multi_period,20,1.0,1.0,1.0,0.8571428571428573,1.0,1.0
ReplenishVerifier-HybridSafe,single_item_multi_period_shortage,20,1.0,1.0,0.95,0.8602777777777776,1.0,1.0
ReplenishVerifier-HybridSafe,single_period_newsvendor,20,0.85,0.75,0.65,0.6619444444444443,0.7722222222222223,0.6166666666666666
ReplenishVerifier-TypeAware,fixed_order_cost_big_m,20,1.0,1.0,0.95,0.8707499999999999,1.0,1.0
ReplenishVerifier-TypeAware,multi_item_capacity,20,0.9,0.6,0.6,0.7084374999999999,0.8625,1.0
ReplenishVerifier-TypeAware,single_item_multi_period,20,1.0,1.0,1.0,0.8571428571428573,1.0,1.0
ReplenishVerifier-TypeAware,single_item_multi_period_shortage,20,1.0,1.0,0.95,0.8602777777777776,1.0,1.0
ReplenishVerifier-TypeAware,single_period_newsvendor,20,0.75,0.75,0.65,0.6063888888888889,0.7055555555555555,0.6833333333333333
ReplenishVerifier-TypeAware-Consensus,fixed_order_cost_big_m,20,1.0,1.0,0.95,0.8707499999999999,1.0,1.0
ReplenishVerifier-TypeAware-Consensus,multi_item_capacity,20,1.0,0.6,0.6,0.7834375,0.95,1.0
ReplenishVerifier-TypeAware-Consensus,single_item_multi_period,20,1.0,1.0,1.0,0.8571428571428573,1.0,1.0
ReplenishVerifier-TypeAware-Consensus,single_item_multi_period_shortage,20,1.0,1.0,0.95,0.8602777777777776,1.0,1.0
ReplenishVerifier-TypeAware-Consensus,single_period_newsvendor,20,0.85,0.75,0.65,0.6619444444444443,0.7722222222222223,0.6166666666666666
