method,n,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap
Best-of-K,100,0.79,0.13672429613082127,0.0,0.13672429613082127,0.0
Consensus only,100,0.82,0.12086552290781873,0.0,0.12086552290781873,0.0
Direct,100,0.7,0.1432223652661633,0.0,0.1432223652661633,0.0
ReplenishVerifier-ConsensusSafe,100,0.83,0.12019787827543556,0.0,0.12019787827543556,0.0
ReplenishVerifier-Full,100,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0
ReplenishVerifier-FullV2,100,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0
ReplenishVerifier-HybridSafe,100,0.83,0.12019787827543556,0.0,0.12019787827543556,0.0
ReplenishVerifier-TypeAware,100,0.83,0.02521487350406109,0.0,0.02521487350406109,0.0
ReplenishVerifier-TypeAware-Consensus,100,0.83,0.12019787827543556,0.0,0.12019787827543556,0.0
Solver only,100,0.78,0.1461869405077073,0.0,0.1461869405077073,0.0
Structure only,100,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0
