method_a,method_b,n_common,same_count,same_selection_rate
Best-of-K,Consensus only,100,55,0.55
Best-of-K,Direct,100,19,0.19
Best-of-K,ReplenishVerifier-ConsensusSafe,100,82,0.82
Best-of-K,ReplenishVerifier-Full,100,48,0.48
Best-of-K,ReplenishVerifier-FullV2,100,48,0.48
Best-of-K,ReplenishVerifier-HybridSafe,100,82,0.82
Best-of-K,ReplenishVerifier-TypeAware,100,78,0.78
Best-of-K,ReplenishVerifier-TypeAware-Consensus,100,75,0.75
Best-of-K,Solver only,100,60,0.6
Best-of-K,Structure only,100,48,0.48
Consensus only,Direct,100,14,0.14
Consensus only,ReplenishVerifier-ConsensusSafe,100,62,0.62
Consensus only,ReplenishVerifier-Full,100,17,0.17
Consensus only,ReplenishVerifier-FullV2,100,17,0.17
Consensus only,ReplenishVerifier-HybridSafe,100,62,0.62
Consensus only,ReplenishVerifier-TypeAware,100,58,0.58
Consensus only,ReplenishVerifier-TypeAware-Consensus,100,55,0.55
Consensus only,Solver only,100,95,0.95
Consensus only,Structure only,100,18,0.18
Direct,ReplenishVerifier-ConsensusSafe,100,9,0.09
Direct,ReplenishVerifier-Full,100,48,0.48
Direct,ReplenishVerifier-FullV2,100,48,0.48
Direct,ReplenishVerifier-HybridSafe,100,9,0.09
Direct,ReplenishVerifier-TypeAware,100,6,0.06
Direct,ReplenishVerifier-TypeAware-Consensus,100,10,0.1
Direct,Solver only,100,14,0.14
Direct,Structure only,100,54,0.54
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-Full,100,43,0.43
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-FullV2,100,43,0.43
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-HybridSafe,100,100,1.0
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware,100,95,0.95
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware-Consensus,100,88,0.88
ReplenishVerifier-ConsensusSafe,Solver only,100,60,0.6
ReplenishVerifier-ConsensusSafe,Structure only,100,41,0.41
ReplenishVerifier-Full,ReplenishVerifier-FullV2,100,100,1.0
ReplenishVerifier-Full,ReplenishVerifier-HybridSafe,100,43,0.43
ReplenishVerifier-Full,ReplenishVerifier-TypeAware,100,39,0.39
ReplenishVerifier-Full,ReplenishVerifier-TypeAware-Consensus,100,53,0.53
ReplenishVerifier-Full,Solver only,100,18,0.18
ReplenishVerifier-Full,Structure only,100,93,0.93
ReplenishVerifier-FullV2,ReplenishVerifier-HybridSafe,100,43,0.43
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware,100,39,0.39
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware-Consensus,100,53,0.53
ReplenishVerifier-FullV2,Solver only,100,18,0.18
ReplenishVerifier-FullV2,Structure only,100,93,0.93
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware,100,95,0.95
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware-Consensus,100,88,0.88
ReplenishVerifier-HybridSafe,Solver only,100,60,0.6
ReplenishVerifier-HybridSafe,Structure only,100,41,0.41
ReplenishVerifier-TypeAware,ReplenishVerifier-TypeAware-Consensus,100,83,0.83
ReplenishVerifier-TypeAware,Solver only,100,56,0.56
ReplenishVerifier-TypeAware,Structure only,100,37,0.37
ReplenishVerifier-TypeAware-Consensus,Solver only,100,53,0.53
ReplenishVerifier-TypeAware-Consensus,Structure only,100,49,0.49
Solver only,Structure only,100,19,0.19
