method,n,objective_accuracy_count,objective_accuracy_total,structure_complete_count,structure_complete_total,code_validity_rate,executable_rate,optimal_rate,solver_status_optimal_rate,solver_status_infeasible_rate,solver_status_timeout_rate,solver_status_error_rate,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap,structure_completeness,inventory_balance_accuracy,constraint_coverage,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage,average_runtime_sec,median_runtime_sec,average_repair_feedback_count,objective_accuracy_ci_low,objective_accuracy_ci_high,structure_completeness_ci_low,structure_completeness_ci_high,constraint_coverage_ci_low,constraint_coverage_ci_high
Best-of-K,100,78,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.78,0.13619577736145197,0.0,0.13619577736145197,0.0,0.803203571428572,1.0,0.9394444444444444,0.9766666666666666,0.9175257731958765,0.9033333333333334,0.12047044033068233,0.1110607900773175,0.26,0.69,0.86,0.764665674603175,0.830512301587302,0.8936111111111111,0.9716666666666666
Consensus only,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12041047764210727,0.0,0.12041047764210727,0.0,0.7889930555555553,1.0,0.9306944444444444,1.0,0.9072164948453612,0.9100000000000001,0.10835000263759867,0.10705810249783099,0.33,0.75,0.9,0.7532876984126983,0.8166138888888888,0.8886111111111111,0.9627777777777777
Direct,100,70,100,0,100,1.0,0.91,0.78,0.78,0.12,0.0,0.09,0.7,0.1432223652661633,0.0,0.1432223652661633,0.0,0.7489063492063489,1.0,0.8841666666666665,1.0,0.9194139194139199,0.926666666666667,0.14161453537875787,0.13704378303373232,0.21,0.62,0.79,0.6980817460317461,0.7914765873015877,0.8245833333333333,0.9341666666666667
ReplenishVerifier-ConsensusSafe,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12041047764210727,0.0,0.12041047764210727,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.11999570040032267,0.11124915402615443,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
ReplenishVerifier-Full,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.11543912375010025,0.0,0.11543912375010025,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.14063440895173698,0.13117876049363986,0.22,0.76,0.9,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
ReplenishVerifier-FullV2,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.11543912375010025,0.0,0.11543912375010025,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.14063440895173698,0.13117876049363986,0.08,0.76,0.9,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
ReplenishVerifier-HybridSafe,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12041047764210727,0.0,0.12041047764210727,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.11999570040032267,0.11124915402615443,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
ReplenishVerifier-TypeAware,100,83,100,0,100,1.0,0.93,0.87,0.87,0.06,0.0,0.07,0.83,0.02716798195453856,0.0,0.02716798195453856,0.0,0.7805994047619054,1.0,0.9136111111111112,1.0,0.9318996415770608,0.9366666666666665,0.11827753858058714,0.1110607900773175,0.06,0.75,0.9,0.7345488095238102,0.8199849206349209,0.8608333333333335,0.9602777777777777
ReplenishVerifier-TypeAware-Consensus,100,85,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.85,0.11373143685970537,0.0,0.11373143685970537,0.0,0.8072660714285721,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.12594592943089084,0.11204600153723732,0.08,0.78,0.92,0.7696301587301594,0.8352865079365084,0.901111111111111,0.9773611111111111
Solver only,100,78,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.78,0.13385472372576399,0.0,0.13385472372576399,0.0,0.7905763888888887,1.0,0.9319444444444445,0.99,0.9072164948453612,0.9000000000000001,0.10805507289478555,0.10569305595709011,0.32,0.7,0.86,0.7543625000000002,0.8181950396825398,0.88875,0.96375
Structure only,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9072164948453612,0.9033333333333335,0.14195978770032525,0.13012709899339825,0.22,0.74,0.89,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
