method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,100,0.12047044033068233,0.1110607900773175,0.26
Consensus only,100,0.10835000263759867,0.10705810249783099,0.33
Direct,100,0.14161453537875787,0.13704378303373232,0.21
ReplenishVerifier-ConsensusSafe,100,0.11999570040032267,0.11124915402615443,0.08
ReplenishVerifier-Full,100,0.14063440895173698,0.13117876049363986,0.22
ReplenishVerifier-FullV2,100,0.14063440895173698,0.13117876049363986,0.08
ReplenishVerifier-HybridSafe,100,0.11999570040032267,0.11124915402615443,0.08
ReplenishVerifier-TypeAware,100,0.11827753858058714,0.1110607900773175,0.06
ReplenishVerifier-TypeAware-Consensus,100,0.12594592943089084,0.11204600153723732,0.08
Solver only,100,0.10805507289478555,0.10569305595709011,0.32
Structure only,100,0.14195978770032525,0.13012709899339825,0.22
