method_a,method_b,same_selection_rate,objective_accuracy_a,objective_accuracy_b,recommendation
Best-of-K,Consensus only,0.59,0.81,0.8,distinct_selection
Best-of-K,Direct,0.19,0.81,0.67,distinct_selection
Best-of-K,ReplenishVerifier-ConsensusSafe,0.82,0.81,0.8,distinct_selection
Best-of-K,ReplenishVerifier-Full,0.43,0.81,0.81,distinct_selection
Best-of-K,ReplenishVerifier-FullV2,0.43,0.81,0.81,distinct_selection
Best-of-K,ReplenishVerifier-HybridSafe,0.82,0.81,0.8,distinct_selection
Best-of-K,ReplenishVerifier-TypeAware,0.8,0.81,0.8,distinct_selection
Best-of-K,ReplenishVerifier-TypeAware-Consensus,0.77,0.81,0.81,distinct_selection
Best-of-K,Solver only,0.57,0.81,0.78,distinct_selection
Best-of-K,Structure only,0.43,0.81,0.81,distinct_selection
Consensus only,Direct,0.11,0.8,0.67,distinct_selection
Consensus only,ReplenishVerifier-ConsensusSafe,0.68,0.8,0.8,distinct_selection
Consensus only,ReplenishVerifier-Full,0.17,0.8,0.81,distinct_selection
Consensus only,ReplenishVerifier-FullV2,0.17,0.8,0.81,distinct_selection
Consensus only,ReplenishVerifier-HybridSafe,0.68,0.8,0.8,distinct_selection
Consensus only,ReplenishVerifier-TypeAware,0.65,0.8,0.8,distinct_selection
Consensus only,ReplenishVerifier-TypeAware-Consensus,0.59,0.8,0.81,distinct_selection
Consensus only,Solver only,0.96,0.8,0.78,high_overlap_consider_merge_explanation
Consensus only,Structure only,0.17,0.8,0.81,distinct_selection
Direct,ReplenishVerifier-ConsensusSafe,0.08,0.67,0.8,distinct_selection
Direct,ReplenishVerifier-Full,0.47,0.67,0.81,distinct_selection
Direct,ReplenishVerifier-FullV2,0.47,0.67,0.81,distinct_selection
Direct,ReplenishVerifier-HybridSafe,0.08,0.67,0.8,distinct_selection
Direct,ReplenishVerifier-TypeAware,0.08,0.67,0.8,distinct_selection
Direct,ReplenishVerifier-TypeAware-Consensus,0.08,0.67,0.81,distinct_selection
Direct,Solver only,0.11,0.67,0.78,distinct_selection
Direct,Structure only,0.52,0.67,0.81,distinct_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-Full,0.44,0.8,0.81,distinct_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-FullV2,0.44,0.8,0.81,distinct_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-HybridSafe,1.0,0.8,0.8,alias_like_same_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware,0.97,0.8,0.8,high_overlap_consider_merge_explanation
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware-Consensus,0.89,0.8,0.81,distinct_selection
ReplenishVerifier-ConsensusSafe,Solver only,0.65,0.8,0.78,distinct_selection
ReplenishVerifier-ConsensusSafe,Structure only,0.39,0.8,0.81,distinct_selection
ReplenishVerifier-Full,ReplenishVerifier-FullV2,1.0,0.81,0.81,alias_like_same_selection
ReplenishVerifier-Full,ReplenishVerifier-HybridSafe,0.44,0.81,0.8,distinct_selection
ReplenishVerifier-Full,ReplenishVerifier-TypeAware,0.42,0.81,0.8,distinct_selection
ReplenishVerifier-Full,ReplenishVerifier-TypeAware-Consensus,0.5,0.81,0.81,distinct_selection
ReplenishVerifier-Full,Solver only,0.17,0.81,0.78,distinct_selection
ReplenishVerifier-Full,Structure only,0.92,0.81,0.81,distinct_selection
ReplenishVerifier-FullV2,ReplenishVerifier-HybridSafe,0.44,0.81,0.8,distinct_selection
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware,0.42,0.81,0.8,distinct_selection
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware-Consensus,0.5,0.81,0.81,distinct_selection
ReplenishVerifier-FullV2,Solver only,0.17,0.81,0.78,distinct_selection
ReplenishVerifier-FullV2,Structure only,0.92,0.81,0.81,distinct_selection
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware,0.97,0.8,0.8,high_overlap_consider_merge_explanation
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware-Consensus,0.89,0.8,0.81,distinct_selection
ReplenishVerifier-HybridSafe,Solver only,0.65,0.8,0.78,distinct_selection
ReplenishVerifier-HybridSafe,Structure only,0.39,0.8,0.81,distinct_selection
ReplenishVerifier-TypeAware,ReplenishVerifier-TypeAware-Consensus,0.86,0.8,0.81,distinct_selection
ReplenishVerifier-TypeAware,Solver only,0.62,0.8,0.78,distinct_selection
ReplenishVerifier-TypeAware,Structure only,0.37,0.8,0.81,distinct_selection
ReplenishVerifier-TypeAware-Consensus,Solver only,0.57,0.81,0.78,distinct_selection
ReplenishVerifier-TypeAware-Consensus,Structure only,0.45,0.81,0.81,distinct_selection
Solver only,Structure only,0.17,0.78,0.81,distinct_selection
