problem_id,problem_type,tac_candidate_id,consensussafe_candidate_id,hybridsafe_candidate_id,full_candidate_id,tac_vs_consensussafe_same,tac_vs_hybridsafe_same,tac_vs_full_same,tac_profile,tac_primary_signal,tac_safe_consensus_score,consensussafe_safe_consensus_score,hybridsafe_safe_consensus_score,full_safe_consensus_score,tac_wrong_consensus_risk,consensussafe_wrong_consensus_risk,hybridsafe_wrong_consensus_risk,tac_constraint_coverage,consensussafe_constraint_coverage,hybridsafe_constraint_coverage,tac_objective_term_coverage,consensussafe_objective_term_coverage,hybridsafe_objective_term_coverage,tac_text_triggered_hard_gate_score,tac_critical_missing_count,objective_correct_posthoc_tac,objective_correct_posthoc_consensussafe,objective_correct_posthoc_hybridsafe,objective_correct_posthoc_full,posthoc_only
fixed_order_cost_big_m_0000,fixed_order_cost_big_m,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k5,True,True,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.9875,,,0.9875,0.012499999999999956,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0001,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.986,,,0.986,0.014000000000000012,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0002,fixed_order_cost_big_m,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k5,True,True,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.9875,,,0.9875,0.012499999999999956,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0003,fixed_order_cost_big_m,Qwen3-8B_k0,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k0,False,False,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.9850000000000001,,,0.9850000000000001,0.014999999999999902,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0004,fixed_order_cost_big_m,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k4,True,True,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.9875,,,0.9875,0.012499999999999956,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0005,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,True,True,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.9875,,,0.9875,0.012499999999999956,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0006,fixed_order_cost_big_m,Qwen3-8B_k6,Qwen3-8B_k6,Qwen3-8B_k6,Qwen3-8B_k6,True,True,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.8464285714285714,,,0.8464285714285714,0.010714285714285676,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0007,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k1,False,False,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.8464285714285714,,,0.8464285714285714,0.010714285714285676,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0008,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,False,False,False,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.28099999999999997,,,0.7025,0.004714285714285726,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True
fixed_order_cost_big_m_0009,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,True,True,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.9875,,,0.9875,0.012499999999999956,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0010,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.9875,,,0.9875,0.012499999999999956,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0011,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k3,False,False,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.8229166666666667,,,0.8229166666666667,0.01041666666666663,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0012,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k1,False,False,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.9875,,,0.9875,0.012499999999999956,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0013,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k3,False,False,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.9875,,,0.9875,0.012499999999999956,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0014,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k1,False,False,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.8640625000000001,,,0.8640625000000001,0.010937499999999933,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0015,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.9875,,,0.9875,0.012499999999999956,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0016,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k1,False,False,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.8640625000000001,,,0.8640625000000001,0.010937499999999933,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0017,fixed_order_cost_big_m,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k5,True,True,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.8640625000000001,,,0.8640625000000001,0.010937499999999933,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0018,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k4,False,False,False,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.1234375,,,0.8640625000000001,0.0015624999999999944,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,True
fixed_order_cost_big_m_0019,fixed_order_cost_big_m,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k4,True,True,True,fixed_order_cost_big_m,fixed_order_schema_objective_big_m,0.7406250000000001,,,0.7406250000000001,0.009374999999999911,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
multi_item_capacity_0000,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.9812500000000002,,,0.9812500000000002,0.018749999999999822,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
multi_item_capacity_0001,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.7359375000000001,,,0.7359375000000001,0.014062499999999867,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
multi_item_capacity_0002,multi_item_capacity,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k0,True,True,False,multi_item_capacity,capacity_schema_text_gate,0.31232142857142864,,,0.31232142857142864,0.5448214285714285,,,0.875,0.875,0.875,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,True
multi_item_capacity_0003,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.0,,,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
multi_item_capacity_0004,multi_item_capacity,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k1,True,True,False,multi_item_capacity,capacity_schema_text_gate,0.9875,,,0.9875,0.012499999999999956,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
multi_item_capacity_0005,multi_item_capacity,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k7,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.0,,,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
multi_item_capacity_0006,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.9812500000000002,,,0.9812500000000002,0.018749999999999822,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
multi_item_capacity_0007,multi_item_capacity,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k3,True,True,False,multi_item_capacity,capacity_schema_text_gate,0.0,,,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
multi_item_capacity_0008,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.9812500000000002,,,0.9812500000000002,0.018749999999999822,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
multi_item_capacity_0009,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.9812500000000002,,,0.9812500000000002,0.018749999999999822,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
multi_item_capacity_0010,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.9812500000000002,,,0.9812500000000002,0.018749999999999822,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
multi_item_capacity_0011,multi_item_capacity,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.0,,,0.0,0.0,,,0.875,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True
multi_item_capacity_0012,multi_item_capacity,Qwen3-8B_k2,Qwen3-8B_k2,Qwen3-8B_k2,Qwen3-8B_k2,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.0,,,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
multi_item_capacity_0013,multi_item_capacity,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.3643750000000001,,,0.3643750000000001,0.6356249999999999,,,0.875,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True
multi_item_capacity_0014,multi_item_capacity,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k0,True,True,False,multi_item_capacity,capacity_schema_text_gate,0.3643750000000001,,,0.3643750000000001,0.6356249999999999,,,0.875,0.875,0.875,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,True
multi_item_capacity_0015,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.9812500000000002,,,0.9812500000000002,0.018749999999999822,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
multi_item_capacity_0016,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,multi_item_capacity,capacity_schema_text_gate,0.0,,,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
multi_item_capacity_0017,multi_item_capacity,Qwen3-8B_k6,Qwen3-8B_k6,Qwen3-8B_k6,Qwen3-8B_k0,True,True,False,multi_item_capacity,capacity_schema_text_gate,0.3643750000000001,,,0.3643750000000001,0.6356249999999999,,,0.875,0.875,0.875,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,True
multi_item_capacity_0018,multi_item_capacity,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k0,True,True,False,multi_item_capacity,capacity_schema_text_gate,0.0,,,0.0,0.0,,,0.875,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True
multi_item_capacity_0019,multi_item_capacity,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k0,True,True,False,multi_item_capacity,capacity_schema_text_gate,0.0,,,0.0,0.0,,,0.875,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True
single_item_multi_period_0000,single_item_multi_period,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0001,single_item_multi_period,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.8625,,,0.8625,0.012499999999999956,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0002,single_item_multi_period,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0003,single_item_multi_period,Qwen3-8B_k2,Qwen3-8B_k2,Qwen3-8B_k2,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0004,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,True,True,True,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0005,single_item_multi_period,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0006,single_item_multi_period,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k5,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0007,single_item_multi_period,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.8448979591836735,,,0.8448979591836735,0.012244897959183598,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0008,single_item_multi_period,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0009,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,True,True,True,single_item_multi_period,inventory_balance_objective_terms,0.4928571428571429,,,0.4928571428571429,0.0071428571428571175,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0010,single_item_multi_period,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,True,True,True,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0011,single_item_multi_period,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.7392857142857143,,,0.7392857142857143,0.010714285714285676,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0012,single_item_multi_period,Qwen3-8B_k6,Qwen3-8B_k6,Qwen3-8B_k6,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0013,single_item_multi_period,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0014,single_item_multi_period,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0015,single_item_multi_period,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0016,single_item_multi_period,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0017,single_item_multi_period,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.6160714285714286,,,0.6160714285714286,0.008928571428571397,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0018,single_item_multi_period,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k0,True,True,False,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_0019,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,True,True,True,single_item_multi_period,inventory_balance_objective_terms,0.9857142857142858,,,0.9857142857142858,0.014285714285714235,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_shortage_0000,single_item_multi_period_shortage,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,True,True,True,single_item_multi_period_shortage,shortage_schema_objective,0.8452380952380952,,,0.8452380952380952,0.011904761904761862,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_shortage_0001,single_item_multi_period_shortage,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,True,True,True,single_item_multi_period_shortage,shortage_schema_objective,0.6163194444444444,,,0.6163194444444444,0.00868055555555558,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
single_item_multi_period_shortage_0002,single_item_multi_period_shortage,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k0,True,True,False,single_item_multi_period_shortage,shortage_schema_objective,0.8628472222222223,,,0.8628472222222223,0.012152777777777679,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
