method,n,code_validity_rate,executable_rate,optimal_rate,objective_accuracy,objective_accuracy_count,objective_accuracy_total,structure_completeness,structure_complete_count,structure_complete_total,constraint_coverage,objective_term_coverage
Best-of-K,100,1.0,0.97,0.87,0.81,81,100,0.8041702380952386,0,100,0.9416666666666665,0.9166666666666667
Consensus only,100,1.0,0.97,0.87,0.8,80,100,0.7925767857142855,0,100,0.9354166666666666,0.9233333333333333
Direct,100,1.0,0.9,0.77,0.67,67,100,0.7374920634920632,0,100,0.8708333333333332,0.9133333333333337
ReplenishVerifier-ConsensusSafe,100,1.0,0.97,0.87,0.8,80,100,0.8081355158730164,0,100,0.9479166666666665,0.9266666666666665
ReplenishVerifier-Full,100,1.0,0.97,0.87,0.81,81,100,0.8088577380952385,0,100,0.9479166666666665,0.92
ReplenishVerifier-FullV2,100,1.0,0.97,0.87,0.81,81,100,0.8088577380952385,0,100,0.9479166666666665,0.92
ReplenishVerifier-HybridSafe,100,1.0,0.97,0.87,0.8,80,100,0.8081355158730164,0,100,0.9479166666666665,0.9266666666666665
ReplenishVerifier-TypeAware,100,1.0,0.94,0.87,0.8,80,100,0.7898369047619052,0,100,0.9258333333333333,0.94
ReplenishVerifier-TypeAware-Consensus,100,1.0,0.97,0.87,0.81,81,100,0.8086910714285719,0,100,0.9479166666666665,0.92
Solver only,100,1.0,0.97,0.87,0.78,78,100,0.7920624999999997,0,100,0.9354166666666666,0.9233333333333333
Structure only,100,1.0,0.97,0.87,0.81,81,100,0.8088577380952385,0,100,0.9479166666666665,0.9066666666666668
