problem_id,problem_type,full_candidate_id,full_candidate_rank,structure_candidate_id,structure_candidate_rank,same_candidate,full_objective_correct_posthoc,structure_objective_correct_posthoc,full_objective_value,structure_objective_value,full_structure_score,structure_structure_score,full_constraint_coverage,structure_constraint_coverage,full_objective_consensus_score,structure_objective_consensus_score,full_objective_cluster_size,structure_objective_cluster_size,full_objective_term_coverage,structure_objective_term_coverage,full_objective_term_lp_coefficient_coverage,structure_objective_term_lp_coefficient_coverage,full_static_validation_score,structure_static_validation_score,full_type_aware_score,structure_type_aware_score,full_solver_status,structure_solver_status,full_runtime,structure_runtime,diagnostic_reason
fixed_order_cost_big_m_0000,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k1,1,True,1.0,1.0,830.0,830.0,0.875,0.875,1.0,,1.0,1.0,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11130226193927228,0.11130226193927228,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0001,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k3,3,True,1.0,1.0,558.0,558.0,0.86,0.86,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11459540296345949,0.11459540296345949,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0002,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k1,1,True,1.0,1.0,826.0,826.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11747110798023641,0.11747110798023641,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0003,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k3,3,True,1.0,1.0,1149.0,1149.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.10805430903565139,0.10805430903565139,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0004,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k3,3,True,1.0,1.0,190.0,190.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.10845776693895459,0.10845776693895459,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0005,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k1,1,True,1.0,1.0,785.0,785.0,0.875,0.875,1.0,,0.8571428571428571,0.8571428571428571,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.1188603489426896,0.1188603489426896,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0006,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k3,3,True,1.0,1.0,1286.0,1286.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.1144538470543921,0.1144538470543921,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0007,fixed_order_cost_big_m,Qwen3-8B_k4,4,Qwen3-8B_k4,4,True,1.0,1.0,409.0,409.0,0.875,0.875,1.0,,0.875,0.875,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.10333559999708086,0.10333559999708086,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0008,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k0,0,False,0.0,1.0,316.0,461.0,0.835,0.835,1.0,,0.5,0.375,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.10943924204912037,0.10860586503986269,bestofk_selected_different_correct_candidate
fixed_order_cost_big_m_0009,fixed_order_cost_big_m,Qwen3-8B_k6,6,Qwen3-8B_k6,6,True,1.0,1.0,324.0,324.0,0.86,0.86,1.0,,0.875,0.875,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.10791076894383878,0.10791076894383878,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0010,fixed_order_cost_big_m,Qwen3-8B_k3,3,Qwen3-8B_k3,3,True,1.0,1.0,430.0,430.0,0.875,0.875,1.0,,1.0,1.0,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.12226250302046537,0.12226250302046537,same_candidate_due_to_structure_dominance
fixed_order_cost_big_m_0011,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k0,0,False,1.0,1.0,1322.0,1322.0,0.875,0.875,1.0,,0.875,0.875,7,7,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,,Optimal,Optimal,0.113301059929654,0.12271697795949876,objective_terms_disagree_with_structure
fixed_order_cost_big_m_0012,fixed_order_cost_big_m,Qwen3-8B_k1,1,Qwen3-8B_k1,1,True,1.0,1.0,572.0,572.0,0.875,0.875,1.0,,1.0,1.0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Optimal,Optimal,0.11498880200088024,0.11498880200088024,same_candidate_due_to_structure_dominance
