method,metric,reported,recomputed,delta,status
Best-of-K,executable_rate,0.97,0.97,0.0,OK
Best-of-K,optimal_rate,0.87,0.87,0.0,OK
Best-of-K,objective_accuracy,0.8,0.8,0.0,OK
Best-of-K,structure_completeness,0.8032,0.803203571428572,3.5714285719912198e-06,OK
Best-of-K,inventory_balance_accuracy,1.0,1.0,0.0,OK
Best-of-K,constraint_coverage,0.9394,0.9394444444444444,4.444444444440254e-05,OK
Best-of-K,average_runtime_sec,0.1038,0.10378406454226934,-1.5935457730667513e-05,OK
Best-of-K,average_repair_feedback_count,0.26,0.26,0.0,OK
Consensus only,executable_rate,0.97,0.97,0.0,OK
Consensus only,optimal_rate,0.87,0.87,0.0,OK
Consensus only,objective_accuracy,0.83,0.83,0.0,OK
Consensus only,structure_completeness,0.79,0.7899869047619044,-1.3095238095672812e-05,OK
Consensus only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Consensus only,constraint_coverage,0.9319,0.9319444444444445,4.4444444444513564e-05,OK
Consensus only,average_runtime_sec,0.1013,0.10131179983029143,1.1799830291425728e-05,OK
Consensus only,average_repair_feedback_count,0.32,0.32,0.0,OK
Direct,executable_rate,0.91,0.91,0.0,OK
Direct,optimal_rate,0.78,0.78,0.0,OK
Direct,objective_accuracy,0.7,0.7,0.0,OK
Direct,structure_completeness,0.7489,0.7489063492063489,6.349206348899017e-06,OK
Direct,inventory_balance_accuracy,1.0,1.0,0.0,OK
Direct,constraint_coverage,0.8842,0.8841666666666665,-3.3333333333440684e-05,OK
Direct,average_runtime_sec,0.1051,0.10505465658614412,-4.534341385588336e-05,OK
Direct,average_repair_feedback_count,0.21,0.21,0.0,OK
ReplenishVerifier-ConsensusSafe,executable_rate,0.97,0.97,0.0,OK
ReplenishVerifier-ConsensusSafe,optimal_rate,0.87,0.87,0.0,OK
ReplenishVerifier-ConsensusSafe,objective_accuracy,0.83,0.83,0.0,OK
ReplenishVerifier-ConsensusSafe,structure_completeness,0.8067,0.8067105158730163,1.0515873016370136e-05,OK
ReplenishVerifier-ConsensusSafe,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-ConsensusSafe,constraint_coverage,0.9444,0.9444444444444444,4.444444444440254e-05,OK
ReplenishVerifier-ConsensusSafe,average_runtime_sec,0.1035,0.10352442296687514,2.4422966875145558e-05,OK
ReplenishVerifier-ConsensusSafe,average_repair_feedback_count,0.22,0.08,-0.14,MISMATCH
ReplenishVerifier-Full,executable_rate,0.97,0.97,0.0,OK
ReplenishVerifier-Full,optimal_rate,0.87,0.87,0.0,OK
ReplenishVerifier-Full,objective_accuracy,0.83,0.83,0.0,OK
ReplenishVerifier-Full,structure_completeness,0.8076,0.807578571428572,-2.1428571427950516e-05,OK
ReplenishVerifier-Full,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-Full,constraint_coverage,0.9444,0.9444444444444444,4.444444444440254e-05,OK
ReplenishVerifier-Full,average_runtime_sec,0.1073,0.10728065829141997,-1.9341708580034034e-05,OK
ReplenishVerifier-Full,average_repair_feedback_count,0.22,0.22,0.0,OK
ReplenishVerifier-FullV2,executable_rate,0.97,0.97,0.0,OK
ReplenishVerifier-FullV2,optimal_rate,0.87,0.87,0.0,OK
ReplenishVerifier-FullV2,objective_accuracy,0.83,0.83,0.0,OK
ReplenishVerifier-FullV2,structure_completeness,0.8076,0.807578571428572,-2.1428571427950516e-05,OK
ReplenishVerifier-FullV2,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-FullV2,constraint_coverage,0.9444,0.9444444444444444,4.444444444440254e-05,OK
ReplenishVerifier-FullV2,average_runtime_sec,0.1073,0.10728065829141997,-1.9341708580034034e-05,OK
ReplenishVerifier-FullV2,average_repair_feedback_count,0.22,0.08,-0.14,MISMATCH
ReplenishVerifier-HybridSafe,executable_rate,0.97,0.97,0.0,OK
ReplenishVerifier-HybridSafe,optimal_rate,0.87,0.87,0.0,OK
ReplenishVerifier-HybridSafe,objective_accuracy,0.83,0.83,0.0,OK
ReplenishVerifier-HybridSafe,structure_completeness,0.8067,0.8067105158730163,1.0515873016370136e-05,OK
ReplenishVerifier-HybridSafe,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-HybridSafe,constraint_coverage,0.9444,0.9444444444444444,4.444444444440254e-05,OK
ReplenishVerifier-HybridSafe,average_runtime_sec,0.1035,0.10352442296687514,2.4422966875145558e-05,OK
ReplenishVerifier-HybridSafe,average_repair_feedback_count,0.22,0.08,-0.14,MISMATCH
ReplenishVerifier-TypeAware,executable_rate,0.93,0.93,0.0,OK
ReplenishVerifier-TypeAware,optimal_rate,0.87,0.87,0.0,OK
