method_a,method_b,same_selection_rate,objective_accuracy_a,objective_accuracy_b,recommendation
Best-of-K,Consensus only,0.55,0.79,0.8,distinct_selection
Best-of-K,Direct,0.21,0.79,0.67,distinct_selection
Best-of-K,ReplenishVerifier-ConsensusSafe,0.8,0.79,0.8,distinct_selection
Best-of-K,ReplenishVerifier-Full,0.4,0.79,0.81,distinct_selection
Best-of-K,ReplenishVerifier-FullV2,0.4,0.79,0.81,distinct_selection
Best-of-K,ReplenishVerifier-HybridSafe,0.8,0.79,0.8,distinct_selection
Best-of-K,ReplenishVerifier-TypeAware,0.79,0.79,0.8,distinct_selection
Best-of-K,ReplenishVerifier-TypeAware-Consensus,0.74,0.79,0.82,distinct_selection
Best-of-K,Solver only,0.55,0.79,0.74,distinct_selection
Best-of-K,Structure only,0.4,0.79,0.81,distinct_selection
Consensus only,Direct,0.1,0.8,0.67,distinct_selection
Consensus only,ReplenishVerifier-ConsensusSafe,0.65,0.8,0.8,distinct_selection
Consensus only,ReplenishVerifier-Full,0.18,0.8,0.81,distinct_selection
Consensus only,ReplenishVerifier-FullV2,0.18,0.8,0.81,distinct_selection
Consensus only,ReplenishVerifier-HybridSafe,0.65,0.8,0.8,distinct_selection
Consensus only,ReplenishVerifier-TypeAware,0.62,0.8,0.8,distinct_selection
Consensus only,ReplenishVerifier-TypeAware-Consensus,0.62,0.8,0.82,distinct_selection
Consensus only,Solver only,0.89,0.8,0.74,distinct_selection
Consensus only,Structure only,0.17,0.8,0.81,distinct_selection
Direct,ReplenishVerifier-ConsensusSafe,0.09,0.67,0.8,distinct_selection
Direct,ReplenishVerifier-Full,0.47,0.67,0.81,distinct_selection
Direct,ReplenishVerifier-FullV2,0.47,0.67,0.81,distinct_selection
Direct,ReplenishVerifier-HybridSafe,0.09,0.67,0.8,distinct_selection
Direct,ReplenishVerifier-TypeAware,0.09,0.67,0.8,distinct_selection
Direct,ReplenishVerifier-TypeAware-Consensus,0.1,0.67,0.82,distinct_selection
Direct,Solver only,0.1,0.67,0.74,distinct_selection
Direct,Structure only,0.52,0.67,0.81,distinct_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-Full,0.4,0.8,0.81,distinct_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-FullV2,0.4,0.8,0.81,distinct_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-HybridSafe,1.0,0.8,0.8,alias_like_same_selection
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware,0.97,0.8,0.8,high_overlap_consider_merge_explanation
ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware-Consensus,0.88,0.8,0.82,distinct_selection
ReplenishVerifier-ConsensusSafe,Solver only,0.6,0.8,0.74,distinct_selection
ReplenishVerifier-ConsensusSafe,Structure only,0.36,0.8,0.81,distinct_selection
ReplenishVerifier-Full,ReplenishVerifier-FullV2,1.0,0.81,0.81,alias_like_same_selection
ReplenishVerifier-Full,ReplenishVerifier-HybridSafe,0.4,0.81,0.8,distinct_selection
ReplenishVerifier-Full,ReplenishVerifier-TypeAware,0.39,0.81,0.8,distinct_selection
ReplenishVerifier-Full,ReplenishVerifier-TypeAware-Consensus,0.49,0.81,0.82,distinct_selection
ReplenishVerifier-Full,Solver only,0.18,0.81,0.74,distinct_selection
ReplenishVerifier-Full,Structure only,0.92,0.81,0.81,distinct_selection
ReplenishVerifier-FullV2,ReplenishVerifier-HybridSafe,0.4,0.81,0.8,distinct_selection
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware,0.39,0.81,0.8,distinct_selection
ReplenishVerifier-FullV2,ReplenishVerifier-TypeAware-Consensus,0.49,0.81,0.82,distinct_selection
ReplenishVerifier-FullV2,Solver only,0.18,0.81,0.74,distinct_selection
ReplenishVerifier-FullV2,Structure only,0.92,0.81,0.81,distinct_selection
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware,0.97,0.8,0.8,high_overlap_consider_merge_explanation
ReplenishVerifier-HybridSafe,ReplenishVerifier-TypeAware-Consensus,0.88,0.8,0.82,distinct_selection
ReplenishVerifier-HybridSafe,Solver only,0.6,0.8,0.74,distinct_selection
ReplenishVerifier-HybridSafe,Structure only,0.36,0.8,0.81,distinct_selection
ReplenishVerifier-TypeAware,ReplenishVerifier-TypeAware-Consensus,0.85,0.8,0.82,distinct_selection
ReplenishVerifier-TypeAware,Solver only,0.57,0.8,0.74,distinct_selection
ReplenishVerifier-TypeAware,Structure only,0.35,0.8,0.81,distinct_selection
ReplenishVerifier-TypeAware-Consensus,Solver only,0.58,0.82,0.74,distinct_selection
ReplenishVerifier-TypeAware-Consensus,Structure only,0.44,0.82,0.81,distinct_selection
Solver only,Structure only,0.19,0.74,0.81,distinct_selection
