method,n,structure_completeness,inventory_balance_accuracy,constraint_coverage
Best-of-K,100,0.8041702380952386,1.0,0.9416666666666665
Consensus only,100,0.7919910714285711,1.0,0.9343055555555556
Direct,100,0.7374920634920632,1.0,0.8708333333333332
ReplenishVerifier-ConsensusSafe,100,0.8081355158730164,1.0,0.9479166666666665
ReplenishVerifier-Full,100,0.8088577380952385,1.0,0.9479166666666665
ReplenishVerifier-FullV2,100,0.8088577380952385,1.0,0.9479166666666665
ReplenishVerifier-HybridSafe,100,0.8081355158730164,1.0,0.9479166666666665
ReplenishVerifier-TypeAware,100,0.7898369047619052,1.0,0.9258333333333333
ReplenishVerifier-TypeAware-Consensus,100,0.8086910714285719,1.0,0.9479166666666665
Solver only,100,0.7922815476190472,1.0,0.9354166666666666
Structure only,100,0.8088577380952385,1.0,0.9479166666666665
