method,error_type,count,rate
Best-of-K,execution_error,9,0.09
Best-of-K,missing_capacity_constraint,12,0.12
Best-of-K,no_error_detected,63,0.63
Best-of-K,objective_mismatch_after_selection,10,0.1
Best-of-K,solver_not_optimal,6,0.06
Consensus only,execution_error,9,0.09
Consensus only,missing_capacity_constraint,12,0.12
Consensus only,no_error_detected,61,0.61
Consensus only,objective_mismatch_after_selection,12,0.12
Consensus only,solver_not_optimal,6,0.06
Direct,execution_error,11,0.11
Direct,missing_capacity_constraint,9,0.09
Direct,no_error_detected,60,0.6
Direct,objective_mismatch_after_selection,12,0.12
Direct,solver_not_optimal,8,0.08
ReplenishVerifier-Full,execution_error,9,0.09
ReplenishVerifier-Full,missing_capacity_constraint,12,0.12
ReplenishVerifier-Full,no_error_detected,62,0.62
ReplenishVerifier-Full,objective_mismatch_after_selection,11,0.11
ReplenishVerifier-Full,solver_not_optimal,6,0.06
ReplenishVerifier-TypeAware,execution_error,11,0.11
ReplenishVerifier-TypeAware,missing_capacity_constraint,12,0.12
ReplenishVerifier-TypeAware,no_error_detected,60,0.6
ReplenishVerifier-TypeAware,objective_mismatch_after_selection,13,0.13
ReplenishVerifier-TypeAware,solver_not_optimal,4,0.04
ReplenishVerifier-TypeAware-Consensus,execution_error,11,0.11
ReplenishVerifier-TypeAware-Consensus,missing_capacity_constraint,12,0.12
ReplenishVerifier-TypeAware-Consensus,no_error_detected,60,0.6
ReplenishVerifier-TypeAware-Consensus,objective_mismatch_after_selection,13,0.13
ReplenishVerifier-TypeAware-Consensus,solver_not_optimal,4,0.04
Solver only,execution_error,9,0.09
Solver only,missing_capacity_constraint,12,0.12
Solver only,no_error_detected,61,0.61
Solver only,objective_mismatch_after_selection,12,0.12
Solver only,solver_not_optimal,6,0.06
Structure only,execution_error,9,0.09
Structure only,missing_capacity_constraint,12,0.12
Structure only,no_error_detected,62,0.62
Structure only,objective_mismatch_after_selection,11,0.11
Structure only,solver_not_optimal,6,0.06
