diagnostic_type,method_a,method_b,methods,n_common,same_selection_rate,count,detail
high_same_selection_pair,Best-of-K,ReplenishVerifier-Full,Best-of-K; ReplenishVerifier-Full,100,0.97,97,Methods select the same candidate on nearly all shared problems.
high_same_selection_pair,Consensus only,Solver only,Consensus only; Solver only,100,0.97,97,Methods select the same candidate on nearly all shared problems.
high_same_selection_pair,ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware,ReplenishVerifier-ConsensusSafe; ReplenishVerifier-TypeAware,100,0.96,96,Methods select the same candidate on nearly all shared problems.
high_same_selection_pair,ReplenishVerifier-ConsensusSafe,ReplenishVerifier-TypeAware-Consensus,ReplenishVerifier-ConsensusSafe; ReplenishVerifier-TypeAware-Consensus,100,1.0,100,Methods select the same candidate on nearly all shared problems.
high_same_selection_pair,ReplenishVerifier-TypeAware,ReplenishVerifier-TypeAware-Consensus,ReplenishVerifier-TypeAware; ReplenishVerifier-TypeAware-Consensus,100,0.96,96,Methods select the same candidate on nearly all shared problems.
metric_duplicate_group,,,Best-of-K; Structure only,,,2,Methods have identical headline metric values.
metric_duplicate_group,,,ReplenishVerifier-ConsensusSafe; ReplenishVerifier-Full; ReplenishVerifier-TypeAware-Consensus,,,3,Methods have identical headline metric values.
candidate_rank_distribution,Best-of-K,,Best-of-K,100,,100,"k0=16, k1=8, k2=15, k3=14, k4=12, k5=3, k6=13, k7=19"
candidate_rank_distribution,Consensus only,,Consensus only,100,,100,"k0=1, k1=9, k2=15, k3=16, k4=14, k5=5, k6=13, k7=27"
candidate_rank_distribution,Direct,,Direct,100,,100,k0=100
candidate_rank_distribution,ReplenishVerifier-ConsensusSafe,,ReplenishVerifier-ConsensusSafe,100,,100,"k0=2, k1=10, k2=15, k3=20, k4=12, k5=3, k6=15, k7=23"
candidate_rank_distribution,ReplenishVerifier-Full,,ReplenishVerifier-Full,100,,100,"k0=14, k1=9, k2=15, k3=15, k4=11, k5=3, k6=13, k7=20"
candidate_rank_distribution,ReplenishVerifier-TypeAware,,ReplenishVerifier-TypeAware,100,,100,"k0=1, k1=10, k2=15, k3=19, k4=12, k5=3, k6=16, k7=24"
candidate_rank_distribution,ReplenishVerifier-TypeAware-Consensus,,ReplenishVerifier-TypeAware-Consensus,100,,100,"k0=2, k1=10, k2=15, k3=20, k4=12, k5=3, k6=15, k7=23"
candidate_rank_distribution,Solver only,,Solver only,100,,100,"k0=2, k1=9, k2=15, k3=16, k4=14, k5=4, k6=15, k7=25"
candidate_rank_distribution,Structure only,,Structure only,100,,100,"k0=81, k1=7, k2=5, k3=4, k6=2, k7=1"
