method,error_type,reported,recomputed,delta,status
Best-of-K,execution_error,,9,,MISSING
Best-of-K,missing_capacity_constraint,,12,,MISSING
Best-of-K,no_error_detected,,62,,MISSING
Best-of-K,objective_mismatch_after_selection,,11,,MISSING
Best-of-K,solver_not_optimal,,6,,MISSING
Consensus only,execution_error,,9,,MISSING
Consensus only,missing_capacity_constraint,,12,,MISSING
Consensus only,no_error_detected,,60,,MISSING
Consensus only,objective_mismatch_after_selection,,13,,MISSING
Consensus only,solver_not_optimal,,6,,MISSING
Direct,execution_error,,11,,MISSING
Direct,missing_capacity_constraint,,9,,MISSING
Direct,no_error_detected,,60,,MISSING
Direct,objective_mismatch_after_selection,,12,,MISSING
Direct,solver_not_optimal,,8,,MISSING
ReplenishVerifier-ConsensusSafe,execution_error,,9,,MISSING
ReplenishVerifier-ConsensusSafe,missing_capacity_constraint,,12,,MISSING
ReplenishVerifier-ConsensusSafe,no_error_detected,,60,,MISSING
ReplenishVerifier-ConsensusSafe,objective_mismatch_after_selection,,13,,MISSING
ReplenishVerifier-ConsensusSafe,solver_not_optimal,,6,,MISSING
ReplenishVerifier-Full,execution_error,,9,,MISSING
ReplenishVerifier-Full,missing_capacity_constraint,,12,,MISSING
ReplenishVerifier-Full,no_error_detected,,60,,MISSING
ReplenishVerifier-Full,objective_mismatch_after_selection,,13,,MISSING
ReplenishVerifier-Full,solver_not_optimal,,6,,MISSING
ReplenishVerifier-TypeAware,execution_error,,11,,MISSING
ReplenishVerifier-TypeAware,missing_capacity_constraint,,12,,MISSING
ReplenishVerifier-TypeAware,no_error_detected,,60,,MISSING
ReplenishVerifier-TypeAware,objective_mismatch_after_selection,,13,,MISSING
ReplenishVerifier-TypeAware,solver_not_optimal,,4,,MISSING
ReplenishVerifier-TypeAware-Consensus,execution_error,,9,,MISSING
ReplenishVerifier-TypeAware-Consensus,missing_capacity_constraint,,12,,MISSING
ReplenishVerifier-TypeAware-Consensus,no_error_detected,,60,,MISSING
ReplenishVerifier-TypeAware-Consensus,objective_mismatch_after_selection,,13,,MISSING
ReplenishVerifier-TypeAware-Consensus,solver_not_optimal,,6,,MISSING
Solver only,execution_error,,9,,MISSING
Solver only,missing_capacity_constraint,,12,,MISSING
Solver only,no_error_detected,,59,,MISSING
Solver only,objective_mismatch_after_selection,,14,,MISSING
Solver only,solver_not_optimal,,6,,MISSING
Structure only,execution_error,,9,,MISSING
Structure only,missing_capacity_constraint,,12,,MISSING
Structure only,no_error_detected,,62,,MISSING
Structure only,objective_mismatch_after_selection,,11,,MISSING
Structure only,solver_not_optimal,,6,,MISSING
