method,old_best_objective_accuracy,bad_objective_accuracy,new_objective_accuracy,delta_new_vs_old_best,delta_new_vs_bad,old_best_executable_rate,bad_executable_rate,new_executable_rate,old_best_structure_completeness,bad_structure_completeness,new_structure_completeness,old_best_constraint_coverage,bad_constraint_coverage,new_constraint_coverage
Best-of-K,0.7500,0.7400,0.7600,+0.0100,+0.0200,0.9100,0.9100,0.9100,0.7552,0.7552,0.7552,0.8875,0.8875,0.8875
Consensus only,0.7300,0.7200,0.7200,-0.0100,+0.0000,0.9100,0.9100,0.9100,0.7515,0.7510,0.7508,0.8875,0.8875,0.8875
Direct,0.6900,0.6900,0.6900,+0.0000,+0.0000,0.8900,0.8900,0.8900,0.7354,0.7354,0.7354,0.8688,0.8688,0.8688
ReplenishVerifier-ConsensusSafe,nan,0.7200,0.7200,+nan,+0.0000,,0.9100,0.9100,,0.7548,0.7548,,0.8875,0.8875
ReplenishVerifier-Full,0.7400,0.7200,0.7400,+0.0000,+0.0200,0.9100,0.9100,0.9100,0.7552,0.7548,0.7552,0.8875,0.8875,0.8875
ReplenishVerifier-HybridSafe,nan,nan,0.7200,+nan,+nan,,,0.9100,,,0.7548,,,0.8875
ReplenishVerifier-TypeAware,0.7200,0.7200,0.7200,+0.0000,+0.0000,0.8900,0.8900,0.8900,0.7403,0.7403,0.7403,0.8700,0.8700,0.8700
ReplenishVerifier-TypeAware-Consensus,0.7200,0.7200,0.7200,+0.0000,+0.0000,0.8900,0.9100,0.9100,0.7403,0.7548,0.7548,0.8700,0.8875,0.8875
Solver only,0.7300,0.7100,0.7100,-0.0200,+0.0000,0.9100,0.9100,0.9100,0.7512,0.7508,0.7496,0.8875,0.8875,0.8864
Structure only,0.7400,0.7400,0.7400,+0.0000,+0.0000,0.9100,0.9100,0.9100,0.7552,0.7552,0.7552,0.8875,0.8875,0.8875
