method,metric,reported,recomputed,delta,status
Best-of-K,executable_rate,0.91,0.91,0.0,OK
Best-of-K,optimal_rate,0.85,0.85,0.0,OK
Best-of-K,objective_accuracy,0.76,0.76,0.0,OK
Best-of-K,structure_completeness,0.7552,0.7552257936507933,2.5793650793359824e-05,OK
Best-of-K,inventory_balance_accuracy,1.0,1.0,0.0,OK
Best-of-K,constraint_coverage,0.8875,0.8875,0.0,OK
Best-of-K,average_runtime_sec,0.1053,0.10534032450756058,4.0324507560571266e-05,OK
Best-of-K,average_repair_feedback_count,0.18,0.18,0.0,OK
Consensus only,executable_rate,0.91,0.91,0.0,OK
Consensus only,optimal_rate,0.85,0.85,0.0,OK
Consensus only,objective_accuracy,0.72,0.72,0.0,OK
Consensus only,structure_completeness,0.7508,0.7507777777777771,-2.2222222222922916e-05,OK
Consensus only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Consensus only,constraint_coverage,0.8875,0.8875,0.0,OK
Consensus only,average_runtime_sec,0.1032,0.10321830591652542,1.830591652542124e-05,OK
Consensus only,average_repair_feedback_count,0.18,0.18,0.0,OK
Direct,executable_rate,0.89,0.89,0.0,OK
Direct,optimal_rate,0.81,0.81,0.0,OK
Direct,objective_accuracy,0.69,0.69,0.0,OK
Direct,structure_completeness,0.7354,0.7353994047619041,-5.952380959239889e-07,OK
Direct,inventory_balance_accuracy,1.0,1.0,0.0,OK
Direct,constraint_coverage,0.8688,0.86875,-4.999999999999449e-05,OK
Direct,average_runtime_sec,0.1102,0.11023205878969748,3.2058789697475554e-05,OK
Direct,average_repair_feedback_count,0.17,0.17,0.0,OK
ReplenishVerifier-ConsensusSafe,executable_rate,0.91,0.91,0.0,OK
ReplenishVerifier-ConsensusSafe,optimal_rate,0.85,0.85,0.0,OK
ReplenishVerifier-ConsensusSafe,objective_accuracy,0.72,0.72,0.0,OK
ReplenishVerifier-ConsensusSafe,structure_completeness,0.7548,0.7547972222222219,-2.7777777781290425e-06,OK
ReplenishVerifier-ConsensusSafe,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-ConsensusSafe,constraint_coverage,0.8875,0.8875,0.0,OK
ReplenishVerifier-ConsensusSafe,average_runtime_sec,0.1041,0.104100436787121,4.367871209998153e-07,OK
ReplenishVerifier-ConsensusSafe,average_repair_feedback_count,0.18,0.18,0.0,OK
ReplenishVerifier-Full,executable_rate,0.91,0.91,0.0,OK
ReplenishVerifier-Full,optimal_rate,0.85,0.85,0.0,OK
ReplenishVerifier-Full,objective_accuracy,0.74,0.74,0.0,OK
ReplenishVerifier-Full,structure_completeness,0.7552,0.7552257936507933,2.5793650793359824e-05,OK
ReplenishVerifier-Full,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-Full,constraint_coverage,0.8875,0.8875,0.0,OK
ReplenishVerifier-Full,average_runtime_sec,0.1118,0.11176597978861537,-3.402021138462774e-05,OK
ReplenishVerifier-Full,average_repair_feedback_count,0.18,0.18,0.0,OK
ReplenishVerifier-HybridSafe,executable_rate,0.91,0.91,0.0,OK
ReplenishVerifier-HybridSafe,optimal_rate,0.85,0.85,0.0,OK
ReplenishVerifier-HybridSafe,objective_accuracy,0.72,0.72,0.0,OK
ReplenishVerifier-HybridSafe,structure_completeness,0.7548,0.7547972222222219,-2.7777777781290425e-06,OK
ReplenishVerifier-HybridSafe,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-HybridSafe,constraint_coverage,0.8875,0.8875,0.0,OK
ReplenishVerifier-HybridSafe,average_runtime_sec,0.1041,0.104100436787121,4.367871209998153e-07,OK
ReplenishVerifier-HybridSafe,average_repair_feedback_count,0.18,0.18,0.0,OK
ReplenishVerifier-TypeAware,executable_rate,0.89,0.89,0.0,OK
ReplenishVerifier-TypeAware,optimal_rate,0.85,0.85,0.0,OK
ReplenishVerifier-TypeAware,objective_accuracy,0.72,0.72,0.0,OK
ReplenishVerifier-TypeAware,structure_completeness,0.7403,0.740297222222222,-2.777777777906998e-06,OK
ReplenishVerifier-TypeAware,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-TypeAware,constraint_coverage,0.87,0.87,0.0,OK
ReplenishVerifier-TypeAware,average_runtime_sec,0.1033,0.10332591666665394,2.591666665394121e-05,OK
ReplenishVerifier-TypeAware,average_repair_feedback_count,0.16,0.16,0.0,OK
ReplenishVerifier-TypeAware-Consensus,executable_rate,0.91,0.91,0.0,OK
ReplenishVerifier-TypeAware-Consensus,optimal_rate,0.85,0.85,0.0,OK
ReplenishVerifier-TypeAware-Consensus,objective_accuracy,0.72,0.72,0.0,OK
ReplenishVerifier-TypeAware-Consensus,structure_completeness,0.7548,0.7547972222222219,-2.7777777781290425e-06,OK
ReplenishVerifier-TypeAware-Consensus,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-TypeAware-Consensus,constraint_coverage,0.8875,0.8875,0.0,OK
ReplenishVerifier-TypeAware-Consensus,average_runtime_sec,0.1041,0.104100436787121,4.367871209998153e-07,OK
ReplenishVerifier-TypeAware-Consensus,average_repair_feedback_count,0.18,0.18,0.0,OK
Solver only,executable_rate,0.91,0.91,0.0,OK
Solver only,optimal_rate,0.85,0.85,0.0,OK
Solver only,objective_accuracy,0.71,0.71,0.0,OK
Solver only,structure_completeness,0.7496,0.7496190476190471,1.9047619047030118e-05,OK
Solver only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Solver only,constraint_coverage,0.8864,0.8863888888888889,-1.111111111107288e-05,OK
Solver only,average_runtime_sec,0.1031,0.1031413847062504,4.138470625039692e-05,OK
Solver only,average_repair_feedback_count,0.19,0.19,0.0,OK
Structure only,executable_rate,0.91,0.91,0.0,OK
Structure only,optimal_rate,0.85,0.85,0.0,OK
Structure only,objective_accuracy,0.74,0.74,0.0,OK
Structure only,structure_completeness,0.7552,0.7552257936507933,2.5793650793359824e-05,OK
Structure only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Structure only,constraint_coverage,0.8875,0.8875,0.0,OK
Structure only,average_runtime_sec,0.1118,0.11183014262875077,3.014262875077056e-05,OK
Structure only,average_repair_feedback_count,0.18,0.18,0.0,OK
