method,n,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap
Best-of-K,100,0.76,0.09793749807425998,0.0,0.09793749807425998,0.0
Consensus only,100,0.72,0.1180026845344572,0.0,0.1180026845344572,0.0
Direct,100,0.69,0.10560406630396485,0.0,0.10560406630396485,0.0
ReplenishVerifier-ConsensusSafe,100,0.72,0.1180026845344572,0.0,0.1180026845344572,0.0
ReplenishVerifier-Full,100,0.74,0.11291288810053687,0.0,0.11291288810053687,0.0
ReplenishVerifier-HybridSafe,100,0.72,0.1180026845344572,0.0,0.1180026845344572,0.0
ReplenishVerifier-TypeAware,100,0.72,0.11902872801475164,0.0,0.11902872801475164,0.0
ReplenishVerifier-TypeAware-Consensus,100,0.72,0.1180026845344572,0.0,0.1180026845344572,0.0
Solver only,100,0.71,0.1091272807774531,0.0,0.1091272807774531,0.0
Structure only,100,0.74,0.11291288810053687,0.0,0.11291288810053687,0.0
