method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,100,0.10534032450756058,0.10735854299855419,0.18
Consensus only,100,0.10321830591652542,0.10591208000550978,0.18
Direct,100,0.11023205878969748,0.11110881849890575,0.17
ReplenishVerifier-ConsensusSafe,100,0.104100436787121,0.10687042050994933,0.18
ReplenishVerifier-Full,100,0.11176597978861537,0.11192747150198556,0.18
ReplenishVerifier-HybridSafe,100,0.104100436787121,0.10687042050994933,0.18
ReplenishVerifier-TypeAware,100,0.10332591666665394,0.1061307304771617,0.16
ReplenishVerifier-TypeAware-Consensus,100,0.104100436787121,0.10687042050994933,0.18
Solver only,100,0.1031413847062504,0.10591208000550978,0.19
Structure only,100,0.11183014262875077,0.11192747150198556,0.18
