method,n,code_validity_rate,executable_rate,optimal_rate,objective_accuracy,objective_accuracy_count,objective_accuracy_total,structure_completeness,structure_complete_count,structure_complete_total,constraint_coverage,objective_term_coverage
Best-of-K,100,1.0,0.97,0.87,0.79,79,100,0.803203571428572,0,100,0.9394444444444444,0.8966666666666668
Consensus only,100,1.0,0.97,0.87,0.82,82,100,0.7904003968253965,0,100,0.9319444444444445,0.9133333333333334
Direct,100,1.0,0.91,0.78,0.7,70,100,0.7489063492063489,0,100,0.8841666666666665,0.926666666666667
ReplenishVerifier-ConsensusSafe,100,1.0,0.97,0.87,0.83,83,100,0.8067105158730163,0,100,0.9444444444444444,0.9233333333333333
ReplenishVerifier-Full,100,1.0,0.97,0.87,0.82,82,100,0.807578571428572,0,100,0.9444444444444444,0.9166666666666667
ReplenishVerifier-FullV2,100,1.0,0.97,0.87,0.82,82,100,0.807578571428572,0,100,0.9444444444444444,0.9166666666666667
ReplenishVerifier-HybridSafe,100,1.0,0.97,0.87,0.83,83,100,0.8067105158730163,0,100,0.9444444444444444,0.9233333333333333
ReplenishVerifier-TypeAware,100,1.0,0.93,0.87,0.83,83,100,0.7805994047619054,0,100,0.9136111111111112,0.9366666666666665
ReplenishVerifier-TypeAware-Consensus,100,1.0,0.97,0.87,0.83,83,100,0.8067105158730163,0,100,0.9444444444444444,0.9233333333333333
Solver only,100,1.0,0.97,0.87,0.78,78,100,0.7898051587301583,0,100,0.9319444444444445,0.9033333333333334
Structure only,100,1.0,0.97,0.87,0.82,82,100,0.807578571428572,0,100,0.9444444444444444,0.9033333333333335
