method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,100,0.10094159828033299,0.10000160700292327,0.26
Consensus only,100,0.09806360026123002,0.09853669352014549,0.32
Direct,100,0.102299042812665,0.10413932148367167,0.21
ReplenishVerifier-ConsensusSafe,100,0.1008856815751642,0.10000160700292327,0.08
ReplenishVerifier-Full,100,0.10508136263815686,0.10552951347199269,0.22
ReplenishVerifier-FullV2,100,0.10508136263815686,0.10552951347199269,0.08
ReplenishVerifier-HybridSafe,100,0.1008856815751642,0.10000160700292327,0.08
ReplenishVerifier-TypeAware,100,0.09952404345560353,0.09973695399821736,0.06
ReplenishVerifier-TypeAware-Consensus,100,0.1008856815751642,0.10000160700292327,0.08
Solver only,100,0.09791823292151093,0.09853669352014549,0.32
Structure only,100,0.1051750386581989,0.10587692647823133,0.22
