problem_id,problem_type,same_candidate,full_candidate_id,typeaware_consensus_candidate_id,full_objective_correct_posthoc,typeaware_consensus_objective_correct_posthoc,full_safe_consensus_score,typeaware_consensus_safe_consensus_score,full_wrong_consensus_risk,typeaware_consensus_wrong_consensus_risk,full_constraint_coverage,typeaware_consensus_constraint_coverage,full_objective_term_coverage,typeaware_consensus_objective_term_coverage,diagnostic_note
fixed_order_cost_big_m_0008,fixed_order_cost_big_m,False,Qwen3-8B_k3,Qwen3-8B_k0,0.0,1.0,0.49175,0.3688125,0.00824999999999998,0.0061875000000000124,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0003,multi_item_capacity,False,Qwen3-8B_k4,Qwen3-8B_k5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0009,multi_item_capacity,False,Qwen3-8B_k3,Qwen3-8B_k5,1.0,1.0,0.9812500000000002,0.9812500000000002,0.018749999999999822,0.018749999999999822,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0010,multi_item_capacity,False,Qwen3-8B_k1,Qwen3-8B_k7,0.0,1.0,0.1640625,0.8177083333333335,0.0026041666666666574,0.015624999999999889,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0012,multi_item_capacity,False,Qwen3-8B_k0,Qwen3-8B_k3,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0015,multi_item_capacity,False,Qwen3-8B_k0,Qwen3-8B_k4,1.0,1.0,0.3643750000000001,0.3643750000000001,0.6356249999999999,0.6356249999999999,0.875,0.875,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0016,multi_item_capacity,False,Qwen3-8B_k0,Qwen3-8B_k2,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
multi_item_capacity_0018,multi_item_capacity,False,Qwen3-8B_k0,Qwen3-8B_k2,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0000,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k3,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0001,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k7,1.0,1.0,0.8625,0.8625,0.012499999999999956,0.012499999999999956,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0002,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k5,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0003,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k4,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0004,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k5,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0005,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k4,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0006,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k7,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0007,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k1,1.0,1.0,0.8448979591836735,0.8448979591836735,0.012244897959183598,0.012244897959183598,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0008,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k1,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0009,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k1,1.0,1.0,0.7392857142857143,0.7392857142857143,0.010714285714285676,0.010714285714285676,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0010,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k3,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0011,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k5,1.0,1.0,0.7040816326530612,0.7040816326530612,0.010204081632653073,0.010204081632653073,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0012,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k7,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0013,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k7,1.0,1.0,0.8625,0.8625,0.012499999999999956,0.012499999999999956,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0014,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k2,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0016,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k7,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
