method,n,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage
Best-of-K,100,0.9816666666666666,0.9175257731958765,0.9083333333333334
Consensus only,100,0.995,0.914089347079038,0.9116666666666667
Direct,100,1.0,0.9194139194139199,0.926666666666667
ReplenishVerifier-ConsensusSafe,100,1.0,0.9209621993127148,0.9233333333333333
ReplenishVerifier-Full,100,0.9866666666666666,0.9209621993127148,0.9166666666666667
ReplenishVerifier-FullV2,100,0.9866666666666666,0.9209621993127148,0.9166666666666667
ReplenishVerifier-HybridSafe,100,1.0,0.9209621993127148,0.9233333333333333
ReplenishVerifier-TypeAware,100,1.0,0.9318996415770608,0.9366666666666665
ReplenishVerifier-TypeAware-Consensus,100,0.9866666666666666,0.9209621993127148,0.9166666666666667
Solver only,100,0.995,0.914089347079038,0.9116666666666667
Structure only,100,0.9866666666666666,0.9072164948453612,0.9033333333333335
