method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,100,0.10509241259191185,0.10548981104511768,0.26
Consensus only,100,0.10264730123220943,0.10396647354355082,0.32
Direct,100,0.10710286528454162,0.10812218202045187,0.21
ReplenishVerifier-ConsensusSafe,100,0.1049287864274811,0.10707192355766892,0.08
ReplenishVerifier-Full,100,0.1107699555112049,0.10921559104463086,0.22
ReplenishVerifier-FullV2,100,0.1107699555112049,0.10921559104463086,0.08
ReplenishVerifier-HybridSafe,100,0.1049287864274811,0.10707192355766892,0.08
ReplenishVerifier-TypeAware,100,0.10347915715770796,0.1068684309720993,0.06
ReplenishVerifier-TypeAware-Consensus,100,0.1065681694552768,0.10707192355766892,0.08
Solver only,100,0.10236309448024258,0.1026707190903835,0.32
Structure only,100,0.1098520498489961,0.10967037605587393,0.22
